No, waktu, accx, accY, accZ
1,  09:18:33,-7125,1060,-3204
2,  09:18:33,-7184,1032,-3262
3,  09:18:33,-7175,1077,-3179
4,  09:18:33,-7130,1191,-3091
5,  09:18:33,-7120,1296,-3108
6,  09:18:33,-7135,1257,-3073
7,  09:18:33,-7173,1214,-3114
8,  09:18:33,-7175,1103,-3091
9,  09:18:33,-7092,1089,-3175
10,  09:18:33,-6985,1119,-3319
11,  09:18:33,-6996,1117,-3414
12,  09:18:34,-6991,1141,-3514
13,  09:18:34,-7020,1159,-3407
14,  09:18:34,-7058,1187,-3337
15,  09:18:34,-7125,1192,-3172
16,  09:18:34,-7132,1160,-3094
17,  09:18:34,-7196,1177,-3058
18,  09:18:34,-7172,1211,-3068
19,  09:18:34,-7121,1203,-3086
20,  09:18:34,-7100,1166,-3206
21,  09:18:34,-7205,1164,-3136
22,  09:18:34,-7150,1150,-3156
23,  09:18:34,-7130,1135,-3067
24,  09:18:34,-7167,1119,-3076
25,  09:18:34,-7191,1150,-3103
26,  09:18:34,-7134,1173,-3147
27,  09:18:34,-7165,1092,-3106
28,  09:18:34,-7141,1058,-3159
29,  09:18:34,-7158,1092,-3138
30,  09:18:34,-7171,1138,-3183
31,  09:18:34,-7136,1159,-3145
32,  09:18:34,-7141,1175,-3156
33,  09:18:34,-7155,1172,-3126
34,  09:18:34,-7115,1177,-3104
35,  09:18:34,-7141,1129,-3196
36,  09:18:34,-7137,1090,-3191
37,  09:18:34,-7130,1077,-3186
38,  09:18:34,-7118,1086,-3123
39,  09:18:34,-7189,1168,-3084
40,  09:18:34,-7166,1196,-3067
41,  09:18:34,-7210,1190,-3060
42,  09:18:34,-7198,1198,-3037
43,  09:18:35,-7149,1116,-3065
44,  09:18:35,-7137,1093,-3105
45,  09:18:35,-7190,1110,-3127
46,  09:18:35,-7202,1105,-3087
47,  09:18:35,-7117,1065,-3146
48,  09:18:35,-7167,1084,-3153
49,  09:18:35,-7189,1126,-3144
50,  09:18:35,-7145,1154,-3115
51,  09:18:35,-7168,1086,-3099
52,  09:18:35,-7200,1105,-3088
53,  09:18:35,-7191,1118,-3046
54,  09:18:35,-7196,1116,-3091
55,  09:18:35,-7146,1094,-3155
56,  09:18:35,-7155,1100,-3152
57,  09:18:35,-7157,1094,-3131
58,  09:18:35,-7117,1089,-3139
59,  09:18:35,-7176,1091,-3139
60,  09:18:35,-7163,1083,-3170
61,  09:18:35,-7129,1108,-3113
62,  09:18:35,-7137,1097,-3159
63,  09:18:35,-7161,1081,-3140
64,  09:18:35,-7171,1074,-3109
65,  09:18:35,-7188,1108,-3110
66,  09:18:35,-7155,1106,-3091
67,  09:18:35,-7122,1086,-3175
68,  09:18:35,-7154,1122,-3216
69,  09:18:35,-7152,1118,-3154
70,  09:18:35,-7129,1136,-3058
71,  09:18:35,-7149,1105,-3127
72,  09:18:35,-7184,1093,-3155
73,  09:18:35,-7150,1122,-3155
74,  09:18:35,-7138,1129,-3213
75,  09:18:35,-7152,1094,-3173
76,  09:18:35,-7164,1100,-3162
77,  09:18:35,-7133,1117,-3151
78,  09:18:36,-7141,1127,-3126
79,  09:18:36,-7144,1127,-3168
80,  09:18:36,-7153,1109,-3176
81,  09:18:36,-7146,1101,-3124
82,  09:18:36,-7148,1106,-3118
83,  09:18:36,-7147,1100,-3182
84,  09:18:36,-7131,1107,-3123
85,  09:18:36,-7162,1110,-3158
86,  09:18:36,-7150,1089,-3127
87,  09:18:36,-7181,1133,-3151
88,  09:18:36,-7181,1132,-3113
89,  09:18:36,-7125,1130,-3170
90,  09:18:36,-7137,1111,-3229
91,  09:18:36,-7169,1127,-3152
92,  09:18:36,-7143,1108,-3142
93,  09:18:36,-7140,1082,-3122
94,  09:18:36,-7193,1081,-3171
95,  09:18:36,-7163,1157,-3126
96,  09:18:36,-7117,1096,-3139
97,  09:18:36,-7143,1106,-3160
98,  09:18:36,-7139,1120,-3146
99,  09:18:36,-7152,1094,-3152
100,  09:18:36,-7166,1077,-3132
101,  09:18:36,-7169,1117,-3138
102,  09:18:36,-7136,1144,-3153
103,  09:18:36,-7145,1117,-3192
104,  09:18:36,-7141,1131,-3173
105,  09:18:36,-7158,1108,-3114
106,  09:18:36,-7155,1094,-3155
107,  09:18:36,-7167,1101,-3115
108,  09:18:36,-7156,1076,-3157
109,  09:18:37,-7165,1124,-3150
110,  09:18:37,-7169,1105,-3191
111,  09:18:37,-7216,1121,-3088
112,  09:18:37,-7153,1079,-3071
113,  09:18:37,-7117,1086,-3128
114,  09:18:37,-7133,1097,-3192
115,  09:18:37,-7203,1091,-3134
116,  09:18:37,-7175,1098,-3129
117,  09:18:37,-7158,1116,-3109
118,  09:18:37,-7150,1109,-3139
119,  09:18:37,-7159,1108,-3149
120,  09:18:37,-7158,1134,-3155
121,  09:18:37,-7146,1103,-3176
122,  09:18:37,-7150,1093,-3178
123,  09:18:37,-7145,1104,-3182
124,  09:18:37,-7144,1090,-3203
125,  09:18:37,-7130,1079,-3159
126,  09:18:37,-7134,1139,-3177
127,  09:18:37,-7123,1116,-3185
128,  09:18:37,-7104,1128,-3210
129,  09:18:37,-7108,1125,-3234
130,  09:18:37,-7154,1102,-3238
131,  09:18:37,-7145,1110,-3205
132,  09:18:37,-7118,1075,-3182
133,  09:18:37,-7107,1099,-3208
134,  09:18:37,-7146,1075,-3211
135,  09:18:37,-7147,1063,-3157
136,  09:18:37,-7083,1072,-3197
137,  09:18:37,-7134,1076,-3302
138,  09:18:37,-7162,1089,-3160
139,  09:18:37,-7127,1108,-3127
140,  09:18:38,-7086,1114,-3135
141,  09:18:38,-7121,1094,-3133
142,  09:18:38,-7152,1060,-3217
143,  09:18:38,-7170,1078,-3187
144,  09:18:38,-7145,1061,-3218
145,  09:18:38,-7133,1108,-3211
146,  09:18:38,-7196,1117,-3161
147,  09:18:38,-7203,1106,-3105
148,  09:18:38,-7186,1054,-3052
149,  09:18:38,-7178,1066,-3050
150,  09:18:38,-7205,1076,-3088
151,  09:18:38,-7215,1092,-3108
152,  09:18:38,-7196,1067,-3080
153,  09:18:38,-7178,1033,-3032
154,  09:18:38,-7171,1071,-3060
155,  09:18:38,-7163,1056,-3110
156,  09:18:38,-7199,1069,-3112
