No, waktu, accx, accY, accZ
1,  08:59:03,-7407,-245,2678
2,  08:59:03,-6669,1513,2708
3,  08:59:03,-6889,2364,1076
4,  08:59:03,-7404,2068,-732
5,  08:59:03,-7454,825,393
6,  08:59:03,-6630,-249,1419
7,  08:59:03,-6098,-421,1345
8,  08:59:03,-5889,186,659
9,  08:59:03,-5788,1363,474
10,  08:59:03,-5985,1506,519
11,  08:59:03,-6266,1434,679
12,  08:59:03,-6732,1233,-119
13,  08:59:03,-6690,1427,329
14,  08:59:03,-7096,1301,-194
15,  08:59:03,-7714,1247,-61
16,  08:59:03,-8181,1349,-457
17,  08:59:03,-8192,1054,-446
18,  08:59:03,-8192,249,-1242
19,  08:59:03,-8192,-205,-178
20,  08:59:03,-8192,-192,2663
21,  08:59:03,-8192,1871,4165
22,  08:59:03,-8192,3046,-3008
23,  08:59:03,-8192,168,3908
24,  08:59:03,-8075,748,2309
25,  08:59:03,-5365,1036,1814
26,  08:59:03,-4124,1985,2703
27,  08:59:03,-5183,2739,3212
28,  08:59:03,-7501,1798,1960
29,  08:59:03,-8192,1008,209
30,  08:59:03,-7752,1390,-615
31,  08:59:03,-6390,1280,146
32,  08:59:04,-5415,1267,760
33,  08:59:04,-4950,1513,1368
34,  08:59:04,-5320,1841,1548
35,  08:59:04,-6438,1549,147
36,  08:59:04,-7161,950,-583
37,  08:59:04,-7205,846,265
38,  08:59:04,-6998,1437,179
39,  08:59:04,-6601,1497,140
40,  08:59:04,-7222,836,413
41,  08:59:04,-7719,2830,-518
42,  08:59:04,-8192,2795,-87
43,  08:59:04,-7926,2198,431
44,  08:59:04,-7626,1942,-1371
45,  08:59:04,-7548,2122,-657
46,  08:59:04,-7421,1978,1060
47,  08:59:04,-8192,3690,2623
48,  08:59:04,-8192,4892,701
49,  08:59:04,-8192,5125,-1910
50,  08:59:04,-8192,4409,4075
51,  08:59:04,-8192,1799,2090
52,  08:59:04,-7079,-357,1904
53,  08:59:04,-5823,-1506,2267
54,  08:59:04,-6034,-1427,3185
55,  08:59:04,-6048,-84,1527
56,  08:59:04,-6498,1704,-1101
57,  08:59:04,-6811,2398,-386
58,  08:59:04,-5831,2069,592
59,  08:59:04,-4624,1088,1623
60,  08:59:04,-4089,494,2343
61,  08:59:04,-4990,982,1461
62,  08:59:04,-6877,1551,-542
63,  08:59:04,-8169,1612,-569
64,  08:59:04,-7837,1012,-491
65,  08:59:04,-7407,547,130
66,  08:59:04,-7942,61,-412
67,  08:59:04,-8192,273,-421
68,  08:59:04,-8192,1395,157
69,  08:59:04,-8192,1971,-359
70,  08:59:04,-8192,1710,-573
71,  08:59:04,-8026,1239,1819
72,  08:59:05,-8192,627,6385
73,  08:59:05,-8192,4885,-163
74,  08:59:05,-8192,1488,2599
75,  08:59:05,-7730,1252,3277
76,  08:59:05,-5918,25,1309
77,  08:59:05,-4630,1204,1086
78,  08:59:05,-5704,2991,2101
79,  08:59:05,-7887,1888,2523
80,  08:59:05,-7414,1222,1055
81,  08:59:05,-6002,1292,647
82,  08:59:05,-5962,1834,-416
83,  08:59:05,-4762,2272,150
84,  08:59:05,-4114,1760,1283
85,  08:59:05,-3858,1295,1780
86,  08:59:05,-5067,378,1692
87,  08:59:05,-6256,-149,472
88,  08:59:05,-6626,612,-675
89,  08:59:05,-7991,1627,536
90,  08:59:05,-7793,3392,-1229
91,  08:59:05,-7929,4021,-323
92,  08:59:05,-8192,3872,125
93,  08:59:05,-8192,2681,300
94,  08:59:05,-8192,2631,-1013
95,  08:59:05,-8192,1304,-1135
96,  08:59:05,-8192,2467,2281
97,  08:59:05,-8192,3828,4749
98,  08:59:05,-8192,1805,-644
99,  08:59:05,-8192,2402,4500
100,  08:59:05,-5195,2519,3262
101,  08:59:05,-3544,2883,4254
102,  08:59:05,-6534,2039,2501
103,  08:59:05,-8192,852,-2267
104,  08:59:05,-8192,858,-65
105,  08:59:05,-8192,1021,828
106,  08:59:05,-6409,1378,20
107,  08:59:05,-4907,1606,578
108,  08:59:05,-4433,1129,1297
109,  08:59:05,-4379,307,1687
110,  08:59:05,-4801,577,1062
111,  08:59:05,-6136,859,-283
112,  08:59:05,-7320,1246,404
113,  08:59:05,-7137,2226,423
114,  08:59:06,-7577,1860,930
115,  08:59:06,-7845,1313,884
116,  08:59:06,-7896,822,566
117,  08:59:06,-8192,523,507
118,  08:59:06,-8192,226,176
119,  08:59:06,-8192,1067,-861
120,  08:59:06,-8192,1659,1771
121,  08:59:06,-8192,197,4899
122,  08:59:06,-8192,1264,-2940
123,  08:59:06,-8192,-438,2909
124,  08:59:06,-6802,-1422,2892
125,  08:59:06,-5012,-933,3064
126,  08:59:06,-5479,1877,3948
127,  08:59:06,-7921,3566,2425
128,  08:59:06,-8192,3270,-233
129,  08:59:06,-7200,1710,-1057
130,  08:59:06,-5420,-150,882
131,  08:59:06,-3920,-134,986
