No, waktu, accx, accY, accZ
1,  07:14:50,-8192,323,-2859
2,  07:14:50,-8192,76,-1509
3,  07:14:50,-8130,1993,339
4,  07:14:50,-8192,3926,2093
5,  07:14:50,-8192,5179,4193
6,  07:14:50,-8192,3998,2487
7,  07:14:50,-8192,1429,1859
8,  07:14:50,-8192,2430,1951
9,  07:14:50,-8192,2225,-1688
10,  07:14:50,-7148,1378,-1714
11,  07:14:50,-4294,586,25
12,  07:14:50,-6419,160,1788
13,  07:14:50,-8171,244,1413
14,  07:14:50,-8192,843,-421
15,  07:14:50,-8073,2559,-1565
16,  07:14:50,-7133,2826,-805
17,  07:14:50,-6000,1869,393
18,  07:14:50,-6554,1063,494
19,  07:14:50,-6924,1315,-816
20,  07:14:50,-6259,2047,-1131
21,  07:14:50,-5832,2478,468
22,  07:14:50,-6039,2722,172
23,  07:14:50,-7314,3066,-2662
24,  07:14:50,-7080,1295,-1669
25,  07:14:50,-7150,-1165,153
26,  07:14:50,-7086,-128,-1075
27,  07:14:50,-5880,1019,-709
28,  07:14:50,-4566,893,-388
29,  07:14:50,-4815,508,-732
30,  07:14:50,-6302,966,-1333
31,  07:14:50,-7990,1541,-384
32,  07:14:51,-8192,2194,2449
33,  07:14:51,-8192,3066,6042
34,  07:14:51,-8192,2303,3538
35,  07:14:51,-8192,609,-415
36,  07:14:51,-8043,1592,-2519
37,  07:14:51,-8192,2913,5032
38,  07:14:51,-8192,227,-1938
39,  07:14:51,-8192,-1162,-4512
40,  07:14:51,-8192,1291,-1012
41,  07:14:51,-4829,2898,1135
42,  07:14:51,-4860,2914,1423
43,  07:14:51,-7353,1122,-448
44,  07:14:51,-6950,280,-258
45,  07:14:51,-5979,-15,-178
46,  07:14:51,-5723,982,-499
47,  07:14:51,-6672,1520,-282
48,  07:14:51,-7618,1565,219
49,  07:14:51,-7664,737,-620
50,  07:14:51,-7474,-36,-997
51,  07:14:51,-7515,-1008,-774
52,  07:14:51,-5772,64,108
53,  07:14:51,-5144,3924,-1492
54,  07:14:51,-6632,2877,-2268
55,  07:14:51,-6612,1406,-869
56,  07:14:51,-5871,1418,-685
57,  07:14:51,-5502,2235,-1358
58,  07:14:51,-5865,1771,-56
59,  07:14:51,-8192,545,3884
60,  07:14:51,-8192,-453,6944
61,  07:14:51,-8192,233,2774
62,  07:14:51,-8192,3783,563
63,  07:14:51,-8192,6938,467
64,  07:14:51,-8192,4767,-2346
65,  07:14:51,-8001,2409,340
66,  07:14:51,-5887,1316,-462
67,  07:14:51,-5750,1715,-67
68,  07:14:51,-7054,992,2773
69,  07:14:51,-8192,1164,522
70,  07:14:51,-7969,1350,-151
71,  07:14:52,-6952,1749,-123
72,  07:14:52,-7013,2216,-296
73,  07:14:52,-7049,2007,165
74,  07:14:52,-6486,1905,505
75,  07:14:52,-7283,2933,-491
76,  07:14:52,-7812,2997,-1150
77,  07:14:52,-6988,1784,-482
78,  07:14:52,-6857,2137,-116
79,  07:14:52,-7383,2188,-1043
80,  07:14:52,-6815,349,-633
81,  07:14:52,-5904,-1344,-102
82,  07:14:52,-6136,-703,-877
83,  07:14:52,-6089,706,-596
84,  07:14:52,-5638,1036,-168
85,  07:14:52,-5368,1057,-504
86,  07:14:52,-5625,930,-783
87,  07:14:52,-6691,1537,-100
88,  07:14:52,-8158,2656,1223
89,  07:14:52,-8192,5750,3414
