  device , waktu, accx, accY, accZ
1, 23:03:18,-7920,-726,758
2, 23:03:18,-8014,-736,790
3, 23:03:18,-8067,-751,836
4, 23:03:18,-8015,-779,795
5, 23:03:18,-7937,-712,810
6, 23:03:18,-7994,-640,902
7, 23:03:18,-8010,-732,874
8, 23:03:18,-7925,-707,780
9, 23:03:18,-7957,-731,799
10, 23:03:18,-8049,-686,946
11, 23:03:18,-7967,-752,876
12, 23:03:18,-8009,-698,936
13, 23:03:18,-8018,-678,967
14, 23:03:18,-7880,-707,871
15, 23:03:18,-7944,-668,894
16, 23:03:18,-8005,-690,928
17, 23:03:18,-7925,-746,838
18, 23:03:18,-7937,-724,884
19, 23:03:18,-7982,-692,930
20, 23:03:18,-8003,-723,899
21, 23:03:18,-7909,-702,975
22, 23:03:18,-8012,-729,932
23, 23:03:18,-7970,-694,857
24, 23:03:18,-8013,-750,873
25, 23:03:18,-8034,-758,937
26, 23:03:18,-7882,-723,877
27, 23:03:18,-8015,-722,952
28, 23:03:18,-8038,-720,953
29, 23:03:18,-7924,-748,873
30, 23:03:18,-7966,-743,980
31, 23:03:18,-8015,-777,830
32, 23:03:18,-7967,-740,901
33, 23:03:18,-7951,-730,882
34, 23:03:18,-8002,-775,876
35, 23:03:18,-7960,-764,878
36, 23:03:18,-7960,-767,874
37, 23:03:19,-7993,-764,851
38, 23:03:19,-7953,-763,849
39, 23:03:19,-8037,-731,959
40, 23:03:19,-8007,-741,940
41, 23:03:19,-7909,-832,794
42, 23:03:19,-7970,-790,984
43, 23:03:19,-7980,-774,932
44, 23:03:19,-7913,-761,831
45, 23:03:19,-8015,-785,909
46, 23:03:19,-8028,-766,944
47, 23:03:19,-7929,-750,835
48, 23:03:19,-8000,-785,901
49, 23:03:19,-7987,-760,906
50, 23:03:19,-7958,-768,840
51, 23:03:19,-7943,-810,855
52, 23:03:19,-7952,-790,883
53, 23:03:20,-7989,-755,923
54, 23:03:20,-7976,-714,888
55, 23:03:20,-8022,-756,889
56, 23:03:20,-7961,-789,829
57, 23:03:20,-7989,-725,933
58, 23:03:20,-7986,-825,857
59, 23:03:20,-7933,-831,776
60, 23:03:20,-8003,-763,964
61, 23:03:20,-7958,-773,847
62, 23:03:20,-7948,-759,764
63, 23:03:20,-8062,-781,928
64, 23:03:20,-7989,-762,893
65, 23:03:20,-7923,-821,797
66, 23:03:20,-8005,-823,829
67, 23:03:20,-8009,-815,864
68, 23:03:20,-7954,-798,863
69, 23:03:20,-7934,-815,742
70, 23:03:20,-8016,-833,832
71, 23:03:20,-7980,-852,891
72, 23:03:20,-7917,-829,807
73, 23:03:20,-7993,-818,764
74, 23:03:20,-8011,-775,830
75, 23:03:20,-8011,-766,955
76, 23:03:20,-7916,-823,771
77, 23:03:20,-7907,-823,718
78, 23:03:20,-8032,-772,919
79, 23:03:20,-7920,-830,783
80, 23:03:20,-8010,-762,809
81, 23:03:20,-7989,-751,881
82, 23:03:21,-7918,-820,751
83, 23:03:21,-7946,-799,787
84, 23:03:21,-8000,-742,871
85, 23:03:21,-7967,-779,829
86, 23:03:21,-7959,-783,810
87, 23:03:21,-7982,-824,777
88, 23:03:21,-8008,-808,869
89, 23:03:21,-7935,-823,808
90, 23:03:21,-7985,-827,769
91, 23:03:21,-7967,-807,737
92, 23:03:21,-7977,-829,820
93, 23:03:21,-8016,-794,808
94, 23:03:21,-7879,-877,605
95, 23:03:21,-7947,-799,690
96, 23:03:21,-8083,-820,875
97, 23:03:21,-7990,-825,812
98, 23:03:21,-8024,-788,795
99, 23:03:21,-8034,-772,801
100, 23:03:21,-7948,-799,647
101, 23:03:21,-7960,-763,738
102, 23:03:21,-7976,-772,825
103, 23:03:21,-7980,-883,770
104, 23:03:21,-7957,-842,637
105, 23:03:21,-7999,-799,730
106, 23:03:21,-7975,-840,783
107, 23:03:21,-7991,-828,766
108, 23:03:21,-7974,-813,776
109, 23:03:21,-8009,-883,673
110, 23:03:22,-8007,-817,885
111, 23:03:22,-7982,-807,878
112, 23:03:22,-7952,-782,817
113, 23:03:22,-7965,-822,795
114, 23:03:22,-8028,-761,951
115, 23:03:22,-7910,-740,720
116, 23:03:22,-7967,-753,778
117, 23:03:22,-7946,-721,805
118, 23:03:22,-7855,-766,739
119, 23:03:22,-7855,-759,713
120, 23:03:22,-7913,-765,729
121, 23:03:22,-7931,-783,730
122, 23:03:22,-8007,-804,862
123, 23:03:22,-8090,-844,904
124, 23:03:22,-8018,-804,845
125, 23:03:22,-8020,-826,757
126, 23:03:22,-7998,-789,754
127, 23:03:22,-8003,-798,738
128, 23:03:22,-8004,-776,749
129, 23:03:22,-7996,-772,873
130, 23:03:22,-8008,-836,681
131, 23:03:22,-7985,-837,691
132, 23:03:22,-7989,-779,842
133, 23:03:22,-7963,-763,696
134, 23:03:22,-7965,-790,693
135, 23:03:22,-7967,-783,682
136, 23:03:22,-7996,-754,775
137, 23:03:22,-7968,-811,773
138, 23:03:22,-7953,-774,689
139, 23:03:22,-7979,-758,709
140, 23:03:22,-7938,-760,681
141, 23:03:22,-7959,-755,736
142, 23:03:22,-7981,-794,796
143, 23:03:23,-7961,-816,736
144, 23:03:23,-7945,-808,760
145, 23:03:23,-7961,-836,717
146, 23:03:23,-7984,-871,721
147, 23:03:23,-7965,-801,758
148, 23:03:23,-7976,-852,808
149, 23:03:23,-7995,-910,680
150, 23:03:23,-8036,-898,791
151, 23:03:23,-7962,-863,800
152, 23:03:23,-8038,-839,741
153, 23:03:23,-7955,-844,693
154, 23:03:23,-7918,-759,701
155, 23:03:23,-8050,-799,789
156, 23:03:23,-7896,-827,657
157, 23:03:23,-7928,-809,731
158, 23:03:23,-7944,-793,734
159, 23:03:23,-7985,-814,760
160, 23:03:23,-7942,-806,709
161, 23:03:23,-7938,-820,720
162, 23:03:23,-7974,-786,712
163, 23:03:23,-7980,-825,787
164, 23:03:23,-7966,-774,740
165, 23:03:23,-7974,-768,644
166, 23:03:23,-7969,-810,643
167, 23:03:23,-8014,-733,831
168, 23:03:23,-7962,-820,680
169, 23:03:23,-7919,-852,544
170, 23:03:23,-8044,-772,763
171, 23:03:23,-7962,-808,663
172, 23:03:23,-7941,-843,582
173, 23:03:23,-8007,-761,724
174, 23:03:23,-7996,-748,756
175, 23:03:23,-7973,-838,605
176, 23:03:23,-7962,-783,679
177, 23:03:23,-7968,-771,634
178, 23:03:24,-7939,-799,602
179, 23:03:24,-7911,-742,582
180, 23:03:24,-7947,-718,675
181, 23:03:24,-7822,-698,478
182, 23:03:24,-7842,-724,457
183, 23:03:24,-7988,-790,567
184, 23:03:24,-8186,-863,733
185, 23:03:24,-8056,-908,551
186, 23:03:24,-8005,-920,480
187, 23:03:24,-7963,-832,505
188, 23:03:24,-7919,-798,427
189, 23:03:24,-8033,-759,644
190, 23:03:24,-8056,-762,571
191, 23:03:24,-8094,-734,477
192, 23:03:24,-8007,-726,508
193, 23:03:24,-7947,-772,449
194, 23:03:24,-7989,-786,413
195, 23:03:24,-7968,-789,437
196, 23:03:24,-8043,-767,481
197, 23:03:24,-7988,-765,490
198, 23:03:24,-7979,-763,432
199, 23:03:24,-7975,-741,411
200, 23:03:24,-7981,-802,388
201, 23:03:24,-8010,-777,456
202, 23:03:24,-7956,-765,419
203, 23:03:24,-8005,-832,412
204, 23:03:24,-8018,-775,495
205, 23:03:24,-7926,-823,410
206, 23:03:24,-8010,-798,422
207, 23:03:24,-7939,-783,505
208, 23:03:24,-8002,-718,521
209, 23:03:24,-7930,-700,543
210, 23:03:24,-8015,-744,465
211, 23:03:24,-8014,-772,540
212, 23:03:24,-8044,-717,457
213, 23:03:24,-8093,-751,425
214, 23:03:24,-7880,-786,561
215, 23:03:25,-7927,-797,404
216, 23:03:25,-8097,-778,483
217, 23:03:25,-7872,-786,432
218, 23:03:25,-7918,-791,466
219, 23:03:25,-7930,-682,447
220, 23:03:25,-8111,-749,517
221, 23:03:25,-8027,-780,491
222, 23:03:25,-8070,-787,526
223, 23:03:25,-7972,-757,470
224, 23:03:25,-7969,-729,505
225, 23:03:25,-8009,-686,552
226, 23:03:25,-8007,-753,476
227, 23:03:25,-7962,-751,436
228, 23:03:25,-7936,-749,461
229, 23:03:25,-8015,-773,418
230, 23:03:25,-8060,-800,424
231, 23:03:25,-7950,-738,576
232, 23:03:25,-8025,-695,618
233, 23:03:25,-7987,-806,502
234, 23:03:25,-7926,-802,388
235, 23:03:25,-8032,-761,517
236, 23:03:25,-7963,-781,485
237, 23:03:25,-8009,-802,530
238, 23:03:25,-7947,-749,531
239, 23:03:26,-8013,-745,581
240, 23:03:26,-8011,-732,583
241, 23:03:26,-8040,-814,581
242, 23:03:26,-7934,-829,471
243, 23:03:26,-7900,-803,443
244, 23:03:26,-7992,-789,503
245, 23:03:26,-7986,-782,603
246, 23:03:26,-7985,-796,556
247, 23:03:26,-7979,-851,483
248, 23:03:26,-7987,-766,589
249, 23:03:26,-7969,-779,471
250, 23:03:26,-7971,-752,459
251, 23:03:26,-7970,-764,541
252, 23:03:26,-8021,-792,531
253, 23:03:26,-7931,-817,477
254, 23:03:26,-8031,-770,537
255, 23:03:26,-8014,-758,534
256, 23:03:26,-7960,-784,494
257, 23:03:26,-7957,-784,492
258, 23:03:26,-8037,-793,506
259, 23:03:26,-8034,-810,542
260, 23:03:26,-7952,-800,435
261, 23:03:26,-7937,-806,402
262, 23:03:26,-7990,-739,436
263, 23:03:26,-8005,-716,530
264, 23:03:26,-8031,-726,494
265, 23:03:26,-7971,-759,414
266, 23:03:26,-8052,-796,547
267, 23:03:27,-7922,-747,438
268, 23:03:27,-7976,-752,407
269, 23:03:27,-7930,-759,471
270, 23:03:27,-8032,-697,523
271, 23:03:27,-7925,-707,401
272, 23:03:27,-7938,-683,510
273, 23:03:27,-8018,-685,492
274, 23:03:27,-8103,-694,507
275, 23:03:27,-8067,-762,484
276, 23:03:27,-8055,-821,479
277, 23:03:27,-8120,-832,522
278, 23:03:27,-8192,-918,520
279, 23:03:27,-8192,-893,547
280, 23:03:27,-7902,-830,454
281, 23:03:27,-7792,-766,161
282, 23:03:27,-7778,-733,340
283, 23:03:27,-7870,-765,482
284, 23:03:27,-8015,-737,627
285, 23:03:27,-7920,-698,587
286, 23:03:27,-7839,-634,564
287, 23:03:27,-7925,-745,503
288, 23:03:27,-8012,-802,584
289, 23:03:27,-8014,-812,515
290, 23:03:27,-8145,-906,684
291, 23:03:27,-8010,-843,729
292, 23:03:27,-7862,-801,482
293, 23:03:27,-8035,-813,663
294, 23:03:27,-7981,-814,595
