device, waktu, accx, accY, accZ
5801, 23:25:34,-7929,578,271
5802, 23:25:34,-7937,811,374
5803, 23:25:34,-8071,744,459
5804, 23:25:34,-7958,674,603
5805, 23:25:34,-7725,742,635
5806, 23:25:34,-7824,700,299
5807, 23:25:34,-8090,94,507
5808, 23:25:34,-8041,-586,85
5809, 23:25:34,-8192,-582,138
5810, 23:25:34,-8192,-160,283
5811, 23:25:34,-8192,281,294
5812, 23:25:34,-8192,783,196
5813, 23:25:34,-8060,1090,203
5814, 23:25:35,-7982,1354,113
5815, 23:25:35,-7712,1450,241
5816, 23:25:35,-7713,1421,277
5817, 23:25:35,-7739,1338,90
5818, 23:25:35,-7626,1520,191
5819, 23:25:35,-7667,1259,160
5820, 23:25:35,-7795,989,192
5821, 23:25:35,-8086,732,331
5822, 23:25:35,-8192,570,343
5823, 23:25:35,-7883,443,295
5824, 23:25:35,-7939,508,304
5825, 23:25:35,-8141,614,399
5826, 23:25:35,-7980,814,375
5827, 23:25:35,-7900,1076,373
5828, 23:25:35,-7892,1073,423
5829, 23:25:35,-7805,932,398
5830, 23:25:36,-7752,913,431
5831, 23:25:36,-7990,677,427
5832, 23:25:36,-8051,459,431
5833, 23:25:36,-8137,354,376
5834, 23:25:36,-8053,314,437
5835, 23:25:36,-7925,489,503
5836, 23:25:36,-7849,853,673
5837, 23:25:36,-7737,981,953
5838, 23:25:36,-7099,672,827
5839, 23:25:36,-6617,-87,-2
5840, 23:25:36,-7552,-1596,-1097
5841, 23:25:36,-8192,-2135,245
5842, 23:25:36,-8192,-1555,504
5843, 23:25:36,-8192,4269,1785
5844, 23:25:36,-7687,4263,1045
5845, 23:25:36,-8008,974,1422
5846, 23:25:36,-8053,-319,692
5847, 23:25:36,-7334,252,584
5848, 23:25:36,-8045,-184,632
5849, 23:25:36,-8079,-284,822
5850, 23:25:36,-8192,204,785
5851, 23:25:36,-8192,469,810
5852, 23:25:36,-8017,680,812
5853, 23:25:36,-7882,771,755
5854, 23:25:36,-7835,396,886
5855, 23:25:36,-7895,414,832
5856, 23:25:36,-7899,481,794
5857, 23:25:36,-8001,378,776
5858, 23:25:36,-8040,522,746
5859, 23:25:36,-8027,596,818
5860, 23:25:36,-8082,568,733
5861, 23:25:36,-7955,445,726
5862, 23:25:36,-8005,310,863
5863, 23:25:36,-8055,271,829
5864, 23:25:36,-8037,231,752
5865, 23:25:36,-7946,567,733
5866, 23:25:36,-7988,696,623
5867, 23:25:37,-8050,593,524
5868, 23:25:37,-8192,379,627
5869, 23:25:37,-8109,54,721
5870, 23:25:37,-7871,77,732
5871, 23:25:37,-8015,-9,678
5872, 23:25:37,-7844,132,652
5873, 23:25:37,-7963,117,584
5874, 23:25:37,-8192,155,596
5875, 23:25:37,-8192,418,587
5876, 23:25:37,-8192,438,675
5877, 23:25:37,-8192,789,426
5878, 23:25:37,-7978,1052,427
5879, 23:25:37,-7799,977,224
5880, 23:25:37,-7645,895,73
5881, 23:25:37,-7742,1204,-161
