 device, waktu, accx, accY, accZ
1864, 22:57:11,-7993,-184,1484
1865, 22:57:11,-7964,-170,1462
1866, 22:57:11,-8011,-199,1478
1867, 22:57:11,-7945,-247,1454
1868, 22:57:11,-7983,-249,1483
1869, 22:57:11,-7931,-203,1515
1870, 22:57:11,-7941,-240,1539
1871, 22:57:11,-7983,-235,1518
1872, 22:57:11,-7957,-262,1488
1873, 22:57:11,-7965,-257,1505
1874, 22:57:11,-7952,-215,1577
1875, 22:57:11,-7931,-236,1532
1876, 22:57:11,-7955,-250,1493
1877, 22:57:11,-7944,-252,1512
1878, 22:57:11,-7955,-264,1582
1879, 22:57:11,-7945,-226,1547
1880, 22:57:11,-7918,-254,1551
1881, 22:57:12,-7934,-246,1543
1882, 22:57:12,-7947,-288,1577
1883, 22:57:12,-7957,-284,1584
1884, 22:57:12,-7961,-276,1532
1885, 22:57:12,-7957,-272,1578
1886, 22:57:12,-7976,-255,1576
1887, 22:57:12,-7942,-276,1594
1888, 22:57:12,-7926,-253,1616
1889, 22:57:12,-7967,-264,1591
1890, 22:57:12,-7944,-245,1552
1891, 22:57:12,-7933,-243,1544
1892, 22:57:12,-7960,-214,1515
1893, 22:57:12,-7976,-256,1570
1894, 22:57:12,-7957,-242,1600
1895, 22:57:12,-7879,-264,1597
1896, 22:57:12,-7880,-312,1533
1897, 22:57:12,-7952,-286,1586
1898, 22:57:12,-7943,-224,1554
1899, 22:57:12,-7960,-242,1576
1900, 22:57:12,-7959,-273,1550
1901, 22:57:12,-7903,-292,1597
1902, 22:57:12,-7950,-293,1580
1903, 22:57:12,-7929,-255,1635
1904, 22:57:12,-7938,-284,1632
1905, 22:57:12,-7926,-282,1584
1906, 22:57:12,-7936,-270,1579
1907, 22:57:13,-7935,-319,1543
1908, 22:57:13,-7950,-309,1599
1909, 22:57:13,-7933,-309,1601
1910, 22:57:13,-7933,-265,1570
1911, 22:57:13,-7932,-276,1563
1912, 22:57:13,-7942,-296,1605
1913, 22:57:13,-7950,-310,1513
1914, 22:57:13,-7951,-264,1582
1915, 22:57:13,-7940,-282,1578
1916, 22:57:13,-7909,-275,1582
1917, 22:57:13,-7973,-293,1554
1918, 22:57:13,-7972,-294,1553
1919, 22:57:13,-7964,-280,1577
1920, 22:57:13,-7961,-270,1525
1921, 22:57:13,-7927,-290,1560
1922, 22:57:13,-7921,-309,1527
1923, 22:57:13,-7924,-332,1552
1924, 22:57:13,-7935,-311,1570
1925, 22:57:13,-7940,-288,1536
1926, 22:57:13,-7949,-293,1592
1927, 22:57:13,-7949,-305,1505
1928, 22:57:13,-7921,-311,1528
1929, 22:57:13,-7949,-313,1536
1930, 22:57:13,-7973,-293,1541
1931, 22:57:13,-7944,-276,1537
1932, 22:57:13,-7918,-337,1555
1933, 22:57:13,-7951,-353,1514
1934, 22:57:14,-7955,-350,1506
1935, 22:57:14,-8002,-310,1594
1936, 22:57:14,-7944,-322,1544
1937, 22:57:14,-7932,-328,1565
1938, 22:57:14,-7970,-328,1537
1939, 22:57:14,-7960,-295,1540
1940, 22:57:14,-7930,-279,1553
1941, 22:57:14,-7934,-306,1553
1942, 22:57:14,-7930,-323,1487
1943, 22:57:14,-7969,-311,1475
1944, 22:57:14,-7949,-307,1513
1945, 22:57:14,-7940,-293,1493
1946, 22:57:14,-7993,-323,1488
1947, 22:57:14,-7975,-304,1469
1948, 22:57:14,-7932,-304,1452
1949, 22:57:14,-7972,-301,1485
1950, 22:57:14,-7961,-319,1480
1951, 22:57:14,-7948,-327,1463
1952, 22:57:14,-7910,-325,1487
1953, 22:57:14,-7976,-321,1406
1954, 22:57:14,-7953,-316,1407
1955, 22:57:14,-7991,-337,1485
1956, 22:57:14,-7954,-325,1451
1957, 22:57:14,-7945,-340,1442
1958, 22:57:14,-8002,-330,1446
1959, 22:57:14,-7999,-329,1457
1960, 22:57:14,-7959,-311,1447
1961, 22:57:14,-7923,-302,1455
