 device , waktu, accx, accY, accZ
1, 23:33:03,-8192,2186,-699
1, 23:33:03,-7732,4480,245
1, 23:33:03,-5263,3958,2031
1, 23:33:03,-4265,2698,3168
1, 23:33:03,-5120,926,4073
1, 23:33:03,-6889,-174,3179
1, 23:33:04,-8192,-112,1082
1, 23:33:04,-8192,509,1140
1, 23:33:04,-8192,1437,1234
1, 23:33:04,-7890,1603,356
1, 23:33:04,-6933,566,649
1, 23:33:04,-6675,672,487
1, 23:33:04,-6603,1540,328
1, 23:33:04,-6626,1968,465
1, 23:33:04,-6822,1852,182
1, 23:33:04,-6823,1446,-214
1, 23:33:04,-6813,610,-711
1, 23:33:04,-6905,435,-582
1, 23:33:04,-6977,1233,-120
1, 23:33:04,-7240,2017,861
1, 23:33:04,-6897,3205,529
1, 23:33:04,-7614,3114,-1060
1, 23:33:04,-8192,1678,-2625
1, 23:33:04,-8192,1768,1054
1, 23:33:04,-8192,6280,4521
1, 23:33:04,-8192,6881,3381
1, 23:33:04,-8192,299,2553
1, 23:33:04,-6242,-1485,3776
1, 23:33:04,-3875,-1913,2859
1, 23:33:04,-3236,-2164,1779
1, 23:33:04,-3708,856,1088
1, 23:33:04,-8192,3683,3394
1, 23:33:04,-6132,7792,1787
1, 23:33:04,-7404,2404,2000
1, 23:33:04,-8192,-1528,-927
1, 23:33:04,-8153,-1330,987
1, 23:33:04,-6540,-23,1317
1, 23:33:04,-6234,1346,530
1, 23:33:04,-6329,2426,387
1, 23:33:04,-6755,1738,-8
1, 23:33:04,-6979,1256,-595
1, 23:33:05,-6671,894,-199
1, 23:33:05,-6677,1151,-117
1, 23:33:05,-6945,1659,-407
1, 23:33:05,-7070,1653,157
1, 23:33:05,-7525,1236,1143
1, 23:33:05,-8192,336,406
1, 23:33:05,-8192,-392,-1331
1, 23:33:05,-8192,182,-2309
1, 23:33:05,-8192,1388,-1754
1, 23:33:05,-8192,403,5861
1, 23:33:05,-8192,405,1090
1, 23:33:05,-8192,510,1815
1, 23:33:05,-7274,428,3724
