 device, waktu, accx, accY, accZ
1, 23:02:03,-6803,139,-361
2, 23:02:04,-7243,544,399
3, 23:02:04,-7510,199,1001
4, 23:02:04,-8192,-407,1620
5, 23:02:04,-8192,-169,1600
6, 23:02:04,-7545,497,1365
7, 23:02:04,-7134,907,1238
8, 23:02:04,-7449,612,1533
9, 23:02:04,-7532,269,1262
10, 23:02:04,-7724,23,1288
11, 23:02:04,-7855,29,1399
12, 23:02:04,-7990,132,1569
13, 23:02:04,-8192,85,1798
14, 23:02:04,-8192,-6,2158
15, 23:02:04,-8192,-31,2437
16, 23:02:04,-8003,-14,2673
17, 23:02:04,-7952,-5,3040
18, 23:02:04,-7530,-6,2823
19, 23:02:04,-7083,-1,2237
20, 23:02:04,-8192,407,889
21, 23:02:04,-8192,1917,1413
22, 23:02:04,-7757,-432,757
23, 23:02:05,-6521,-962,158
24, 23:02:05,-5894,-1044,-167
25, 23:02:05,-5843,-942,-539
26, 23:02:05,-8192,-618,887
27, 23:02:05,-8192,-524,1129
28, 23:02:05,-8058,-1071,429
29, 23:02:05,-7650,-1469,1222
30, 23:02:05,-7467,-1530,1268
31, 23:02:05,-7371,-781,1163
32, 23:02:05,-7469,-131,1581
33, 23:02:05,-7651,-364,1723
34, 23:02:05,-7757,-480,1726
35, 23:02:05,-7834,-724,1629
36, 23:02:05,-7867,-927,1635
37, 23:02:05,-8119,-1116,1757
38, 23:02:05,-8192,-1017,2072
39, 23:02:05,-8192,-554,2322
40, 23:02:05,-8192,-763,2455
41, 23:02:05,-8192,-981,2490
42, 23:02:05,-7878,-938,2157
43, 23:02:05,-7739,-997,2530
44, 23:02:05,-7712,173,1486
45, 23:02:05,-8192,-1614,850
46, 23:02:05,-8192,-2684,601
47, 23:02:05,-8192,-1941,-904
48, 23:02:05,-7537,916,-819
49, 23:02:05,-6323,2329,-184
50, 23:02:05,-6844,656,-188
51, 23:02:05,-8192,-897,748
52, 23:02:05,-7980,-812,120
53, 23:02:05,-7850,438,947
54, 23:02:06,-8130,527,1683
55, 23:02:06,-7579,219,1110
56, 23:02:06,-7459,-49,1091
57, 23:02:06,-7484,129,1114
58, 23:02:06,-7309,69,1087
59, 23:02:06,-7641,65,1187
60, 23:02:06,-8103,-5,1633
61, 23:02:06,-8192,-318,2072
62, 23:02:06,-8192,-270,2355
63, 23:02:06,-8192,28,2533
64, 23:02:06,-8192,14,2749
65, 23:02:06,-8192,9,2729
66, 23:02:06,-8192,-253,2150
67, 23:02:06,-8192,929,-83
68, 23:02:06,-8192,1642,1788
69, 23:02:06,-7683,280,278
70, 23:02:06,-6018,-1052,-61
71, 23:02:06,-4563,-1878,-1591
72, 23:02:06,-6079,-1796,-968
73, 23:02:06,-8192,37,1125
74, 23:02:06,-8192,-80,351
75, 23:02:06,-6997,-802,332
76, 23:02:06,-7047,-1132,500
77, 23:02:06,-7169,-1144,603
78, 23:02:06,-7248,-730,852
79, 23:02:06,-7366,-416,992
80, 23:02:06,-7418,-501,1230
81, 23:02:06,-7314,-797,1181
82, 23:02:06,-7428,-511,1373
83, 23:02:06,-8155,-434,1850
84, 23:02:06,-8192,-547,1946
85, 23:02:06,-8192,-751,2388
86, 23:02:06,-8192,-929,3056
87, 23:02:06,-8192,-934,2926
88, 23:02:06,-8108,-832,3087
89, 23:02:06,-8003,-912,3097
90, 23:02:06,-7789,-531,2789
91, 23:02:06,-8192,-458,1531
92, 23:02:06,-8192,-1952,1261
93, 23:02:07,-8192,-2101,-193
94, 23:02:08,-6930,-493,-537
95, 23:02:08,-5860,1666,-327
