No, waktu, accx, accY, accZ
1, 2018-07-09 06:17:52,-8192,4934,2628
2, 2018-07-09 06:17:52,-8192,2045,4359
3, 2018-07-09 06:17:52,-6875,-1245,4151
4, 2018-07-09 06:17:52,-5565,-2294,1515
5, 2018-07-09 06:17:52,-6805,167,1087
6, 2018-07-09 06:17:52,-6560,3312,2120
7, 2018-07-09 06:17:52,-6009,4068,2265
8, 2018-07-09 06:17:52,-5647,3104,1143
9, 2018-07-09 06:17:52,-6046,1600,-17
10, 2018-07-09 06:17:52,-5646,-14,809
11, 2018-07-09 06:17:52,-5138,-342,1477
12, 2018-07-09 06:17:52,-5865,1118,471
13, 2018-07-09 06:17:52,-7140,2590,-1043
14, 2018-07-09 06:17:52,-7547,2450,-1128
15, 2018-07-09 06:17:52,-6778,1685,-1574
16, 2018-07-09 06:17:52,-6753,1398,-1209
17, 2018-07-09 06:17:52,-7435,1110,-404
18, 2018-07-09 06:17:52,-6749,1816,798
19, 2018-07-09 06:17:52,-7557,882,923
20, 2018-07-09 06:17:52,-8192,-678,-3133
21, 2018-07-09 06:17:52,-8192,149,-4432
22, 2018-07-09 06:17:52,-8192,1227,7085
23, 2018-07-09 06:17:52,-8192,1417,2515
24, 2018-07-09 06:17:52,-8192,1045,1047
25, 2018-07-09 06:17:52,-3925,2735,3347
26, 2018-07-09 06:17:52,-2823,3841,3205
27, 2018-07-09 06:17:52,-5237,3101,1177
28, 2018-07-09 06:17:52,-7777,527,1054
29, 2018-07-09 06:17:52,-8192,-1900,1775
30, 2018-07-09 06:17:52,-8192,-1720,660
31, 2018-07-09 06:17:52,-6060,1343,921
32, 2018-07-09 06:17:52,-5642,2349,988
33, 2018-07-09 06:17:52,-6232,2183,-86
34, 2018-07-09 06:17:52,-7046,1546,-410
35, 2018-07-09 06:17:53,-6879,1457,196
36, 2018-07-09 06:17:53,-6448,1622,200
37, 2018-07-09 06:17:53,-6514,1787,-695
38, 2018-07-09 06:17:53,-6339,1686,-1626
39, 2018-07-09 06:17:53,-6519,1390,-730
40, 2018-07-09 06:17:53,-7076,1570,457
41, 2018-07-09 06:17:53,-7238,966,686
42, 2018-07-09 06:17:53,-6543,1608,-461
43, 2018-07-09 06:17:53,-8192,2526,-2624
44, 2018-07-09 06:17:53,-8192,3131,-2817
45, 2018-07-09 06:17:53,-8192,6023,5047
46, 2018-07-09 06:17:53,-8192,6050,1350
47, 2018-07-09 06:17:53,-8192,3236,2177
48, 2018-07-09 06:17:53,-8192,-142,4368
49, 2018-07-09 06:17:53,-6386,-2772,4097
50, 2018-07-09 06:17:53,-5770,-3653,1774
51, 2018-07-09 06:17:53,-5485,211,856
52, 2018-07-09 06:17:53,-6528,6977,911
53, 2018-07-09 06:17:53,-7078,3786,1404
54, 2018-07-09 06:17:53,-6871,2094,696
55, 2018-07-09 06:17:53,-6737,532,404
56, 2018-07-09 06:17:53,-6138,-864,630
57, 2018-07-09 06:17:53,-6317,6,176
58, 2018-07-09 06:17:53,-6443,1431,-539
59, 2018-07-09 06:17:53,-6612,2156,-1345
60, 2018-07-09 06:17:53,-7218,1554,-1835
61, 2018-07-09 06:17:53,-7348,975,-618
62, 2018-07-09 06:17:53,-6206,836,966
63, 2018-07-09 06:17:53,-4911,2300,1737
64, 2018-07-09 06:17:53,-7125,2194,1050
65, 2018-07-09 06:17:53,-8192,663,-2744
66, 2018-07-09 06:17:53,-8192,1025,-3586
67, 2018-07-09 06:17:53,-8192,982,130
68, 2018-07-09 06:17:53,-8192,612,4663
69, 2018-07-09 06:17:53,-8192,-10,1918
70, 2018-07-09 06:17:53,-8192,-590,2621
71, 2018-07-09 06:17:53,-5339,949,2698
72, 2018-07-09 06:17:53,-4092,4532,1882
73, 2018-07-09 06:17:53,-6727,1948,361
74, 2018-07-09 06:17:53,-8192,-26,1576
75, 2018-07-09 06:17:54,-8192,-1097,2216
76, 2018-07-09 06:17:54,-8192,-177,1150
77, 2018-07-09 06:17:54,-6681,2230,388
78, 2018-07-09 06:17:54,-5057,3689,236
79, 2018-07-09 06:17:54,-5504,2275,424
80, 2018-07-09 06:17:54,-6361,719,835
81, 2018-07-09 06:17:54,-6508,442,433
82, 2018-07-09 06:17:54,-6598,1378,-174
83, 2018-07-09 06:17:54,-7256,1747,-1320
84, 2018-07-09 06:17:54,-7483,1888,-1078
85, 2018-07-09 06:17:54,-7041,2505,-58
86, 2018-07-09 06:17:54,-7331,2840,-200
87, 2018-07-09 06:17:54,-8192,2519,-2040
88, 2018-07-09 06:17:54,-8192,3883,-2997
89, 2018-07-09 06:17:54,-8192,4503,-2835
90, 2018-07-09 06:17:54,-8192,7091,4327
91, 2018-07-09 06:17:54,-8192,3619,1916
92, 2018-07-09 06:17:54,-8192,-468,1982
93, 2018-07-09 06:17:54,-6378,-1328,3868
94, 2018-07-09 06:17:54,-3837,-2519,4700
95, 2018-07-09 06:17:54,-4212,-361,2693
96, 2018-07-09 06:17:54,-8192,629,1095
97, 2018-07-09 06:17:54,-8192,5335,285
98, 2018-07-09 06:17:54,-7217,1990,-133
99, 2018-07-09 06:17:54,-6063,320,368
100, 2018-07-09 06:17:54,-5033,-1265,846
101, 2018-07-09 06:17:54,-5508,659,300
102, 2018-07-09 06:17:54,-6027,1982,-552
103, 2018-07-09 06:17:54,-6605,2494,-673
104, 2018-07-09 06:17:54,-6676,1176,-864
105, 2018-07-09 06:17:54,-7623,285,-484
106, 2018-07-09 06:17:54,-8052,-736,125
107, 2018-07-09 06:17:54,-7821,139,348
108, 2018-07-09 06:17:54,-8192,-521,-2151
109, 2018-07-09 06:17:54,-8192,576,-3731
110, 2018-07-09 06:17:54,-8192,1727,-782
111, 2018-07-09 06:17:54,-8192,2172,4921
112, 2018-07-09 06:17:54,-8192,1241,915
113, 2018-07-09 06:17:54,-8192,934,2273
