device, waktu, accx, accY, accZ
1, 23:05:37,-7286,4362,1258
2, 23:05:37,-8192,1832,2182
3, 23:05:37,-8192,125,1700
4, 23:05:37,-8192,1387,1634
5, 23:05:37,-8192,4026,2440
6, 23:05:37,-8192,7432,2451
7, 23:05:37,-8192,5678,2792
8, 23:05:37,-8192,981,3140
9, 23:05:37,-7098,-2019,3410
10, 23:05:37,-5260,-2654,2279
11, 23:05:37,-5353,-697,512
12, 23:05:37,-6344,8192,1754
13, 23:05:37,-6972,5252,3452
14, 23:05:37,-8192,647,4155
15, 23:05:37,-7840,-482,328
16, 23:05:37,-6428,-1221,-521
17, 23:05:37,-5234,445,-397
18, 23:05:37,-5396,2183,-342
19, 23:05:38,-5929,2666,-136
20, 23:05:38,-6518,2178,1521
21, 23:05:38,-7741,1287,2227
22, 23:05:38,-8192,634,2564
23, 23:05:38,-7063,-363,2178
24, 23:05:38,-7079,-1024,967
25, 23:05:38,-8192,963,836
26, 23:05:38,-8192,2984,1770
27, 23:05:38,-8192,2480,2237
28, 23:05:38,-8192,1122,2639
29, 23:05:38,-8192,945,2943
30, 23:05:38,-6424,752,2610
31, 23:05:38,-3944,3724,2003
32, 23:05:38,-4669,3685,1768
33, 23:05:38,-6770,1085,1267
34, 23:05:38,-8192,-1426,1738
35, 23:05:38,-8192,-1650,3207
36, 23:05:38,-7937,907,1076
37, 23:05:38,-6048,3989,-1458
38, 23:05:38,-6548,2938,-1622
39, 23:05:38,-7107,1133,1284
40, 23:05:38,-6263,425,3063
41, 23:05:38,-5945,1113,2477
42, 23:05:38,-6179,1952,1572
43, 23:05:38,-6768,2145,967
44, 23:05:38,-7563,1515,340
45, 23:05:38,-7873,757,763
46, 23:05:38,-7968,382,2328
47, 23:05:39,-8192,1074,3826
48, 23:05:39,-8192,3280,3614
49, 23:05:39,-8192,4200,3532
50, 23:05:39,-8192,5880,2655
51, 23:05:39,-8192,6760,1198
52, 23:05:39,-8192,3934,2559
53, 23:05:39,-8192,1063,6031
54, 23:05:39,-4339,-2024,1994
55, 23:05:39,-2776,-1926,-691
