  device , waktu, accx, accY, accZ
1, 22:55:57,-8192,535,2589
2, 22:55:57,-8192,2558,1490
3, 22:55:58,-2980,4910,1901
4, 22:55:58,-3369,2556,2978
5, 22:55:58,-6882,-1374,2582
6, 22:55:58,-8192,-2412,1059
7, 22:55:58,-8192,206,171
8, 22:55:58,-7257,2090,670
9, 22:55:58,-4931,4475,747
10, 22:55:58,-5127,2453,433
11, 22:55:58,-6051,926,106
12, 22:55:58,-6765,865,95
13, 22:55:58,-6685,1341,-49
14, 22:55:58,-6541,1432,-627
15, 22:55:58,-6416,1188,-1093
16, 22:55:58,-7201,1396,80
17, 22:55:58,-8192,2361,404
18, 22:55:58,-8192,2572,-632
19, 22:55:58,-7861,4073,-1873
20, 22:55:58,-8192,4485,-4128
21, 22:55:58,-8192,3530,-2756
22, 22:55:58,-8192,5629,6545
23, 22:55:58,-8192,3393,1354
24, 22:55:58,-8192,242,4085
25, 22:55:59,-6807,-2389,4900
26, 22:55:59,-5063,-2740,3203
27, 22:55:59,-5017,-6,-209
28, 22:55:59,-8192,5343,1276
29, 22:55:59,-7627,6212,1017
30, 22:55:59,-6763,3138,511
31, 22:55:59,-6567,426,194
32, 22:55:59,-5845,-651,485
33, 22:55:59,-5455,217,564
34, 22:55:59,-5368,1974,417
35, 22:55:59,-5786,2353,156
36, 22:55:59,-7429,721,-908
37, 22:55:59,-8192,613,-1264
38, 22:55:59,-7961,845,-355
39, 22:55:59,-6009,1712,614
40, 22:55:59,-6552,1191,-650
41, 22:55:59,-8192,1432,-2872
42, 22:55:59,-8192,1372,-743
43, 22:55:59,-8192,625,6599
44, 22:55:59,-8192,-618,2117
45, 22:55:59,-8192,334,1749
46, 22:55:59,-5025,1933,1945
47, 22:55:59,-3139,4892,3320
48, 22:55:59,-5979,3331,1920
49, 22:55:59,-8192,-1463,1495
50, 22:55:59,-8192,-2373,945
51, 22:56:00,-7850,-698,1317
52, 22:56:00,-6379,1563,1405
53, 22:56:00,-5278,3594,648
54, 22:56:00,-6214,1431,-44
55, 22:56:00,-6550,448,345
