No, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch,Akselerasi
1, 2018-07-09 08:18:37,-111,-55,-7750,159,215,-61,-6.73,-0.24,7750.990001
2, 2018-07-09 08:18:37,-104,-120,-7789,32,66,-66,-6.72,-0.23,7790.618525
3, 2018-07-09 08:18:37,-125,-158,-7855,50,120,-39,-6.71,-0.23,7857.583216
4, 2018-07-09 08:18:37,-62,-93,-7854,262,321,-52,-6.72,-0.21,7854.795287
5, 2018-07-09 08:18:37,3,-72,-7664,-71,430,-108,-6.74,-0.21,7664.338784
6, 2018-07-09 08:18:37,-101,-161,-7687,-271,-229,-73,-6.72,-0.23,7689.349192
7, 2018-07-09 08:18:37,-251,-162,-7964,-66,19,-51,-6.68,-0.25,7969.601057
8, 2018-07-09 08:18:37,-85,-142,-7770,123,416,-34,-6.7,-0.25,7771.762284
9, 2018-07-09 08:18:37,-30,-32,-7762,26,192,-44,-6.7,-0.24,7762.123936
10, 2018-07-09 08:18:37,-71,-33,-7773,45,293,-67,-6.71,-0.24,7773.394304
11, 2018-07-09 08:18:37,-110,-75,-7763,30,100,-85,-6.71,-0.23,7764.141549
12, 2018-07-09 08:18:37,-96,-103,-7781,48,190,-93,-6.7,-0.23,7782.273832
13, 2018-07-09 08:18:37,-26,-100,-7732,66,240,-75,-6.7,-0.23,7732.690347
14, 2018-07-09 08:18:37,-80,-76,-7819,-86,-52,-96,-6.69,-0.23,7819.778577
15, 2018-07-09 08:18:37,-81,-90,-7818,-62,-130,-138,-6.66,-0.24,7818.937588
16, 2018-07-09 08:18:37,-186,-168,-7823,-34,-165,-99,-6.63,-0.25,7827.014054
17, 2018-07-09 08:18:37,-254,-108,-7813,25,129,-29,-6.61,-0.25,7817.873688
18, 2018-07-09 08:18:37,-155,-48,-7754,138,362,-37,-6.63,-0.24,7755.697583
19, 2018-07-09 08:18:37,-74,-34,-7810,41,104,-24,-6.63,-0.23,7810.424572
20, 2018-07-09 08:18:37,-128,-71,-7814,-56,31,-39,-6.61,-0.23,7815.370817
21, 2018-07-09 08:18:37,-201,-69,-7784,49,148,-70,-6.61,-0.23,7786.90041
22, 2018-07-09 08:18:37,-163,-140,-7770,49,221,-110,-6.61,-0.23,7772.97041
23, 2018-07-09 08:18:37,-135,-123,-7785,-26,120,-88,-6.61,-0.23,7787.141902
24, 2018-07-09 08:18:37,-163,-34,-7778,102,167,-32,-6.6,-0.23,7779.782066
25, 2018-07-09 08:18:37,-174,-9,-7803,114,304,-61,-6.61,-0.22,7804.944971
26, 2018-07-09 08:18:37,-121,-108,-7795,123,304,-91,-6.62,-0.21,7796.687117
27, 2018-07-09 08:18:37,-156,-124,-7863,84,177,-67,-6.63,-0.2,7865.524839
28, 2018-07-09 08:18:37,-213,-96,-7835,155,407,-33,-6.64,-0.19,7838.482634
29, 2018-07-09 08:18:37,-138,-86,-7676,92,276,-49,-6.65,-0.18,7677.722058
30, 2018-07-09 08:18:37,-87,-59,-7757,-13,281,-71,-6.66,-0.18,7757.712227
31, 2018-07-09 08:18:37,-123,-63,-7760,70,155,-73,-6.66,-0.18,7761.230444
32, 2018-07-09 08:18:37,-191,-101,-7826,131,191,-67,-6.66,-0.17,7828.981926
33, 2018-07-09 08:18:38,-157,-109,-7740,59,282,-79,-6.67,-0.16,7742.359459
34, 2018-07-09 08:18:38,-159,-114,-7694,13,210,-85,-6.67,-0.16,7696.487056
35, 2018-07-09 08:18:38,-173,-96,-7814,7,196,-110,-6.67,-0.17,7816.504398
36, 2018-07-09 08:18:38,-153,-109,-7760,112,269,-69,-6.68,-0.16,7762.273507
37, 2018-07-09 08:18:38,-127,-97,-7722,12,274,-69,-6.69,-0.16,7723.65341
38, 2018-07-09 08:18:38,-111,-99,-7736,-22,223,-90,-6.69,-0.16,7737.429677
39, 2018-07-09 08:18:38,-115,-110,-7795,-38,117,-75,-6.69,-0.16,7796.62427
40, 2018-07-09 08:18:38,-190,-89,-7765,38,118,-70,-6.68,-0.16,7767.834061
41, 2018-07-09 08:18:38,-153,-91,-7753,0,201,-92,-6.68,-0.16,7755.043456
42, 2018-07-09 08:18:38,-166,-23,-7801,17,159,-52,-6.68,-0.17,7802.799882
43, 2018-07-09 08:18:38,-174,-33,-7764,90,231,-82,-6.68,-0.16,7766.019637
44, 2018-07-09 08:18:38,-187,-166,-7783,-49,219,-73,-6.69,-0.16,7787.015731
45, 2018-07-09 08:18:38,-159,-119,-7805,-161,214,-71,-6.69,-0.17,7807.526305
46, 2018-07-09 08:18:38,-108,-73,-7737,-48,313,-107,-6.7,-0.18,7738.098087
47, 2018-07-09 08:18:38,-115,-121,-7804,65,35,-105,-6.69,-0.18,7805.785162
48, 2018-07-09 08:18:38,-242,-74,-7862,-29,241,-65,-6.69,-0.18,7866.071701
49, 2018-07-09 08:18:38,-185,-41,-7702,-35,325,-67,-6.7,-0.18,7704.3306
50, 2018-07-09 08:18:38,-85,-16,-7779,-26,265,-82,-6.71,-0.19,7779.480831
51, 2018-07-09 08:18:38,-111,-60,-7780,49,221,-64,-6.71,-0.18,7781.023133
52, 2018-07-09 08:18:38,-190,-68,-7771,13,92,-77,-6.71,-0.18,7773.619813
53, 2018-07-09 08:18:38,-172,-56,-7815,36,215,-95,-6.71,-0.18,7817.09313
54, 2018-07-09 08:18:38,-165,-69,-7755,75,225,-116,-6.71,-0.18,7757.062008
55, 2018-07-09 08:18:38,-186,-100,-7783,22,222,-94,-6.72,-0.17,7785.864435
56, 2018-07-09 08:18:38,-135,-101,-7809,14,297,-84,-6.72,-0.17,7810.819867
57, 2018-07-09 08:18:38,-155,-114,-7777,-23,245,-104,-6.73,-0.18,7779.379795
58, 2018-07-09 08:18:38,-135,-30,-7756,-9,162,-90,-6.73,-0.18,7757.232818
59, 2018-07-09 08:18:38,-156,-49,-7761,17,171,-70,-6.73,-0.18,7762.722332
60, 2018-07-09 08:18:38,-151,-28,-7768,-11,125,-68,-6.72,-0.18,7769.517939
61, 2018-07-09 08:18:38,-174,-36,-7786,7,117,-79,-6.72,-0.18,7788.027221
62, 2018-07-09 08:18:38,-169,-66,-7800,32,187,-93,-6.72,-0.18,7802.109779
63, 2018-07-09 08:18:38,-191,-67,-7719,-6,174,-111,-6.72,-0.18,7721.653385
64, 2018-07-09 08:18:38,-204,-65,-7774,-55,82,-94,-6.71,-0.18,7776.947795
65, 2018-07-09 08:18:38,-188,-37,-7855,60,161,-45,-6.71,-0.18,7857.336572
66, 2018-07-09 08:18:38,-142,-50,-7862,159,254,-78,-6.71,-0.17,7863.441231
67, 2018-07-09 08:18:39,-134,-88,-7769,47,281,-82,-6.72,-0.16,7770.653833
68, 2018-07-09 08:18:39,-186,-99,-7791,18,167,-66,-6.72,-0.16,7793.848728
69, 2018-07-09 08:18:39,-246,-77,-7843,75,306,-93,-6.73,-0.16,7847.2348
70, 2018-07-09 08:18:39,-174,-94,-7707,73,321,-96,-6.75,-0.15,7709.537016
