No, waktu, accx, accY, accZ,Akselerasi
1, 2018-07-09 09:07:10,-7794,1687,1071,8046.082649
2, 2018-07-09 09:07:10,-7707,1703,1045,7961.788932
3, 2018-07-09 09:07:10,-7824,1752,1201,8107.211666
4, 2018-07-09 09:07:10,-7816,1765,1275,8113.612389
5, 2018-07-09 09:07:11,-7717,1880,1202,8033.137183
6, 2018-07-09 09:07:11,-7704,1726,1082,7968.777573
7, 2018-07-09 09:07:11,-7832,1730,1049,8089.099146
8, 2018-07-09 09:07:11,-7823,1828,1091,8107.47766
9, 2018-07-09 09:07:11,-7781,1989,1052,8099.801603
10, 2018-07-09 09:07:11,-7662,1898,985,7954.801883
11, 2018-07-09 09:07:11,-7790,1824,1084,8073.792913
12, 2018-07-09 09:07:11,-7854,1680,1169,8116.297
13, 2018-07-09 09:07:11,-7802,1457,1072,8008.947309
14, 2018-07-09 09:07:11,-7811,1794,1030,8080.288176
15, 2018-07-09 09:07:11,-7872,1958,1045,8178.885804
16, 2018-07-09 09:07:11,-7720,1863,990,8003.07872
17, 2018-07-09 09:07:11,-7791,1735,993,8043.379576
18, 2018-07-09 09:07:11,-7767,1687,1074,8020.332537
19, 2018-07-09 09:07:11,-7791,1744,1105,8059.915756
20, 2018-07-09 09:07:11,-7822,1809,1081,8100.908961
21, 2018-07-09 09:07:11,-7779,1782,1097,8055.543061
22, 2018-07-09 09:07:11,-7773,1741,1137,8046.32705
23, 2018-07-09 09:07:11,-7758,1714,1022,8010.545799
24, 2018-07-09 09:07:11,-7800,1702,1071,8055.0509
25, 2018-07-09 09:07:11,-7797,1735,1238,8083.073549
26, 2018-07-09 09:07:11,-7752,1789,1080,8028.724992
27, 2018-07-09 09:07:11,-7758,1893,1026,8051.253878
28, 2018-07-09 09:07:11,-7806,1730,1059,8065.235086
29, 2018-07-09 09:07:11,-7852,1667,1126,8105.59492
30, 2018-07-09 09:07:11,-7760,1739,1112,8029.835926
31, 2018-07-09 09:07:11,-7778,1858,991,8058.010238
32, 2018-07-09 09:07:11,-7741,1825,1006,8016.59167
33, 2018-07-09 09:07:11,-7755,1742,1104,8024.550143
34, 2018-07-09 09:07:11,-7791,1880,1169,8099.422325
35, 2018-07-09 09:07:11,-7771,1842,1116,8063.923425
36, 2018-07-09 09:07:11,-7750,1659,1021,7991.071392
37, 2018-07-09 09:07:11,-7715,1734,1144,7989.788295
38, 2018-07-09 09:07:11,-7926,1663,1162,8181.521191
39, 2018-07-09 09:07:11,-7823,1526,1154,8053.553315
40, 2018-07-09 09:07:12,-7785,1673,1066,8033.773086
41, 2018-07-09 09:07:12,-7896,1666,1043,8136.966327
42, 2018-07-09 09:07:12,-7783,1667,1095,8034.488347
43, 2018-07-09 09:07:12,-7746,1825,1004,8021.169304
44, 2018-07-09 09:07:12,-7792,1756,1008,8050.767914
45, 2018-07-09 09:07:12,-7765,1733,1128,8035.601907
46, 2018-07-09 09:07:12,-7757,1778,1105,8034.510439
47, 2018-07-09 09:07:12,-7867,1783,1047,8134.186315
48, 2018-07-09 09:07:12,-7830,1762,1164,8109.77435
49, 2018-07-09 09:07:12,-7819,1572,1228,8069.444157
50, 2018-07-09 09:07:12,-7785,1784,954,8043.568673
51, 2018-07-09 09:07:12,-7909,1882,966,8187.02394
52, 2018-07-09 09:07:12,-7749,1928,1198,8074.613861
53, 2018-07-09 09:07:12,-7608,1846,1146,7912.18655
54, 2018-07-09 09:07:12,-7713,1849,958,7989.176053
55, 2018-07-09 09:07:12,-7841,1863,995,8120.472585
56, 2018-07-09 09:07:12,-7755,1856,1107,8050.478868
57, 2018-07-09 09:07:12,-7801,1768,1149,8080.942148
58, 2018-07-09 09:07:12,-7808,1780,1053,8077.256527
59, 2018-07-09 09:07:12,-7795,1808,1106,8078.002538
60, 2018-07-09 09:07:12,-7710,1733,1087,7976.776166
61, 2018-07-09 09:07:12,-7747,1658,1049,7991.581445
62, 2018-07-09 09:07:12,-7811,1818,1070,8090.843281
63, 2018-07-09 09:07:12,-7772,1866,1107,8069.162844
64, 2018-07-09 09:07:12,-7825,1780,1112,8101.57818
65, 2018-07-09 09:07:12,-7792,1770,1118,8068.338615
66, 2018-07-09 09:07:12,-7858,1799,1022,8125.82605
67, 2018-07-09 09:07:12,-7741,1782,1079,8016.411042
68, 2018-07-09 09:07:12,-7774,1763,1083,8044.633864
69, 2018-07-09 09:07:12,-7746,1836,1024,8026.206327
70, 2018-07-09 09:07:12,-7730,1756,1219,8020.1245
71, 2018-07-09 09:07:12,-7832,1758,1087,8100.145493
72, 2018-07-09 09:07:12,-7688,1790,1171,7980.017857
73, 2018-07-09 09:07:12,-7864,1827,1043,8140.532784
74, 2018-07-09 09:07:12,-7737,1896,1141,8047.227224
75, 2018-07-09 09:07:13,-7746,1807,1046,8022.461031
76, 2018-07-09 09:07:13,-7768,1793,1176,8058.514069
77, 2018-07-09 09:07:13,-7894,1850,1116,8184.325995
78, 2018-07-09 09:07:13,-7754,1814,1112,8040.625349
