No, waktu, accx, accY, accZ,Akselerasi
1, 2018-07-09 09:18:45,-7111,1158,-3009,7807.775996
2, 2018-07-09 09:18:45,-7133,1117,-3019,7825.710128
3, 2018-07-09 09:18:45,-7176,1143,-3077,7891.093334
4, 2018-07-09 09:18:45,-7189,1118,-3152,7928.855466
5, 2018-07-09 09:18:45,-7217,1101,-3154,7952.672884
6, 2018-07-09 09:18:45,-7186,1049,-3077,7887.136743
7, 2018-07-09 09:18:45,-7195,1101,-2878,7827.075444
8, 2018-07-09 09:18:45,-7198,1129,-3011,7883.651819
9, 2018-07-09 09:18:45,-7213,1142,-3012,7899.5998
10, 2018-07-09 09:18:45,-7232,1139,-2967,7899.508466
11, 2018-07-09 09:18:45,-7222,1140,-2987,7898.041086
12, 2018-07-09 09:18:45,-7219,1124,-3032,7910.142919
13, 2018-07-09 09:18:45,-7208,1140,-2958,7874.301747
14, 2018-07-09 09:18:45,-7194,1121,-3019,7881.918421
15, 2018-07-09 09:18:45,-7204,1165,-3069,7916.666091
16, 2018-07-09 09:18:45,-7256,1126,-3023,7940.777103
17, 2018-07-09 09:18:45,-7241,1037,-3047,7924.118815
18, 2018-07-09 09:18:45,-7307,1026,-3038,7979.622109
19, 2018-07-09 09:18:45,-7294,1160,-3057,7993.32753
20, 2018-07-09 09:18:45,-7256,1209,-2724,7844.19486
21, 2018-07-09 09:18:45,-7270,1216,-2779,7877.46133
22, 2018-07-09 09:18:46,-7186,1149,-2924,7842.740146
23, 2018-07-09 09:18:46,-7132,1085,-2936,7788.629212
24, 2018-07-09 09:18:46,-7167,1170,-2991,7853.716954
25, 2018-07-09 09:18:46,-7358,1219,-2955,8022.353146
26, 2018-07-09 09:18:46,-7113,1309,-2997,7828.809552
27, 2018-07-09 09:18:46,-7111,1400,-3185,7916.473078
28, 2018-07-09 09:18:46,-7116,1179,-3010,7815.855487
29, 2018-07-09 09:18:46,-7221,906,-2961,7856.920389
30, 2018-07-09 09:18:46,-7309,776,-2912,7905.909246
31, 2018-07-09 09:18:46,-7237,941,-2767,7804.866367
32, 2018-07-09 09:18:46,-7301,1151,-2772,7893.882822
33, 2018-07-09 09:18:46,-7285,1225,-2842,7915.100378
34, 2018-07-09 09:18:46,-7266,1341,-2837,7914.645033
35, 2018-07-09 09:18:46,-7312,1362,-2791,7944.184603
36, 2018-07-09 09:18:46,-7312,1284,-2764,7921.723045
37, 2018-07-09 09:18:46,-7342,1200,-2755,7933.157568
38, 2018-07-09 09:18:46,-7337,1194,-2627,7884.055682
39, 2018-07-09 09:18:46,-7290,1164,-2611,7830.473613
40, 2018-07-09 09:18:46,-7217,1236,-2721,7811.313974
41, 2018-07-09 09:18:46,-7428,1221,-2742,8011.528506
42, 2018-07-09 09:18:46,-7411,1058,-2781,7986.00313
43, 2018-07-09 09:18:46,-7232,1117,-2703,7801.007755
44, 2018-07-09 09:18:46,-7171,1201,-2835,7804.028895
45, 2018-07-09 09:18:46,-7357,1180,-2903,7996.577893
46, 2018-07-09 09:18:46,-7442,1191,-2856,8059.688642
47, 2018-07-09 09:18:46,-7419,1276,-2796,8030.401796
48, 2018-07-09 09:18:46,-7390,1431,-2563,7951.655802
49, 2018-07-09 09:18:46,-7422,1583,-2451,7974.921567
50, 2018-07-09 09:18:46,-7372,1461,-2500,7920.284401
51, 2018-07-09 09:18:46,-7292,1431,-2564,7860.987279
52, 2018-07-09 09:18:46,-7254,1501,-2677,7876.537691
53, 2018-07-09 09:18:46,-7215,1414,-2717,7838.221099
54, 2018-07-09 09:18:46,-7389,1302,-2752,7991.622426
55, 2018-07-09 09:18:46,-7402,1171,-2645,7947.129671
56, 2018-07-09 09:18:46,-7381,1331,-2653,7955.446625
57, 2018-07-09 09:18:46,-7393,1328,-2557,7934.625511
58, 2018-07-09 09:18:47,-7306,1317,-2582,7859.952226
59, 2018-07-09 09:18:47,-7276,1341,-2666,7864.223611
60, 2018-07-09 09:18:47,-7233,1346,-2703,7837.998086
61, 2018-07-09 09:18:47,-7163,1372,-2760,7797.983906
62, 2018-07-09 09:18:47,-7055,1242,-3101,7805.881757
63, 2018-07-09 09:18:47,-7182,1251,-3321,8010.940394
64, 2018-07-09 09:18:47,-7329,889,-3068,7994.82245
65, 2018-07-09 09:18:47,-7280,937,-2807,7858.474279
66, 2018-07-09 09:18:47,-7312,1065,-2613,7837.559442
67, 2018-07-09 09:18:47,-7353,1162,-2581,7878.985595
68, 2018-07-09 09:18:47,-7330,1475,-2526,7892.097376
69, 2018-07-09 09:18:47,-7323,1459,-2432,7853.001592
70, 2018-07-09 09:18:47,-7620,830,-2415,8036.511992
71, 2018-07-09 09:18:47,-7197,1474,-2829,7872.275783
72, 2018-07-09 09:18:47,-7341,1308,-2819,7971.694048
73, 2018-07-09 09:18:47,-7225,1254,-2901,7885.996576
74, 2018-07-09 09:18:47,-7338,1224,-2911,7988.638244
75, 2018-07-09 09:18:47,-7374,1397,-2610,7946.042097
76, 2018-07-09 09:18:47,-7435,1632,-2536,8023.337523
77, 2018-07-09 09:18:47,-7314,1182,-2559,7838.379998
78, 2018-07-09 09:18:47,-7286,989,-2772,7857.983265
79, 2018-07-09 09:18:47,-7316,1108,-2858,7932.192887
80, 2018-07-09 09:18:47,-7440,1113,-2690,7989.27212
81, 2018-07-09 09:18:47,-7361,1029,-2604,7875.530331
82, 2018-07-09 09:18:47,-7119,993,-2644,7658.782279
83, 2018-07-09 09:18:47,-7289,1176,-2847,7913.147667
84, 2018-07-09 09:18:47,-7378,997,-3011,8030.878781
85, 2018-07-09 09:18:47,-7372,1074,-2817,7964.631128
86, 2018-07-09 09:18:47,-7331,1434,-2685,7937.829804
87, 2018-07-09 09:18:47,-7276,1505,-2719,7911.900025
88, 2018-07-09 09:18:47,-7267,1403,-2526,7820.38196
89, 2018-07-09 09:18:47,-7393,1178,-2575,7916.739101
90, 2018-07-09 09:18:47,-7280,1181,-2763,7875.74314
91, 2018-07-09 09:18:47,-7179,1213,-3000,7874.605387
92, 2018-07-09 09:18:47,-7149,1439,-3207,7966.415191
93, 2018-07-09 09:18:47,-7415,1402,-2900,8084.418903
94, 2018-07-09 09:18:47,-7382,1279,-2794,7996.011568
95, 2018-07-09 09:18:47,-7240,1193,-2631,7795.063181
96, 2018-07-09 09:18:47,-7270,1201,-2571,7804.187466
97, 2018-07-09 09:18:48,-7385,1204,-2597,7920.36931
98, 2018-07-09 09:18:48,-7352,1173,-2678,7911.985655
99, 2018-07-09 09:18:48,-7315,1097,-2855,7928.660606
100, 2018-07-09 09:18:48,-7235,1075,-3158,7967.0455
101, 2018-07-09 09:18:48,-7281,1182,-3002,7963.798654
102, 2018-07-09 09:18:48,-7300,1192,-2925,7954.023447
103, 2018-07-09 09:18:48,-7340,904,-2870,7932.825222
104, 2018-07-09 09:18:48,-7317,779,-2793,7870.589495
105, 2018-07-09 09:18:48,-7312,891,-2854,7899.654486
106, 2018-07-09 09:18:48,-7307,803,-2787,7861.579167
107, 2018-07-09 09:18:48,-7288,603,-2805,7832.405633
108, 2018-07-09 09:18:48,-7232,677,-2780,7777.438717
109, 2018-07-09 09:18:48,-7379,873,-2900,7976.325595
110, 2018-07-09 09:18:48,-7345,1084,-2943,7986.571855
111, 2018-07-09 09:18:48,-7198,1092,-2942,7852.326534
112, 2018-07-09 09:18:48,-7191,1108,-2954,7852.659486
113, 2018-07-09 09:18:48,-7195,939,-3024,7860.936458
114, 2018-07-09 09:18:48,-7183,641,-2987,7805.673514
115, 2018-07-09 09:18:48,-7261,704,-3046,7905.431867
116, 2018-07-09 09:18:48,-7310,621,-2986,7920.728312
117, 2018-07-09 09:18:48,-7275,587,-3002,7891.907121
118, 2018-07-09 09:18:48,-7298,704,-2909,7887.883176
119, 2018-07-09 09:18:48,-7291,737,-2859,7866.112827
120, 2018-07-09 09:18:48,-7263,926,-2858,7859.822453
121, 2018-07-09 09:18:48,-7227,756,-2875,7814.517899
122, 2018-07-09 09:18:48,-7266,732,-2789,7817.231032
123, 2018-07-09 09:18:48,-7355,878,-2560,7837.123771
124, 2018-07-09 09:18:48,-7442,925,-2704,7971.863333
125, 2018-07-09 09:18:48,-7455,811,-2736,7982.508503
126, 2018-07-09 09:18:48,-7372,799,-2803,7927.269013
127, 2018-07-09 09:18:48,-7367,914,-2860,7955.355743
128, 2018-07-09 09:18:49,-7421,1014,-2507,7898.385025
129, 2018-07-09 09:18:49,-7366,1071,-2740,7931.746151
130, 2018-07-09 09:18:49,-7465,944,-2500,7928.894059
131, 2018-07-09 09:18:49,-7399,912,-2521,7869.71321
132, 2018-07-09 09:18:49,-7387,947,-2562,7875.812466
133, 2018-07-09 09:18:49,-7325,1023,-2489,7803.670611
134, 2018-07-09 09:18:49,-7255,1127,-2518,7761.796055
135, 2018-07-09 09:18:49,-7418,1371,-2349,7900.896531
136, 2018-07-09 09:18:49,-7559,1091,-2440,8017.628203
137, 2018-07-09 09:18:49,-7567,909,-2748,8101.683405
138, 2018-07-09 09:18:49,-7499,1154,-2633,8031.152221
139, 2018-07-09 09:18:49,-7406,1296,-2402,7892.911757
140, 2018-07-09 09:18:49,-7426,1218,-2381,7892.918408
141, 2018-07-09 09:18:49,-7510,1134,-2385,7960.796505
142, 2018-07-09 09:18:49,-7475,1033,-2377,7911.563878
143, 2018-07-09 09:18:49,-7475,1093,-2410,7929.588514
144, 2018-07-09 09:18:49,-7440,1131,-2416,7903.784979
145, 2018-07-09 09:18:49,-7401,1188,-2418,7876.094781
146, 2018-07-09 09:18:49,-7385,1214,-2564,7911.138793
147, 2018-07-09 09:18:49,-7428,1205,-2549,7945.099748
148, 2018-07-09 09:18:49,-7404,1287,-2620,7958.642158
149, 2018-07-09 09:18:49,-7382,1325,-2541,7918.726539
150, 2018-07-09 09:18:49,-7329,1231,-2612,7877.318452
151, 2018-07-09 09:18:49,-7281,1201,-2693,7855.419212
152, 2018-07-09 09:18:49,-7394,1165,-2551,7907.974583
153, 2018-07-09 09:18:49,-7218,1261,-2717,7814.840625
154, 2018-07-09 09:18:49,-7480,1243,-2650,8032.30658
155, 2018-07-09 09:18:49,-7393,1199,-2610,7931.339736
156, 2018-07-09 09:18:49,-7256,1155,-2544,7775.313306
157, 2018-07-09 09:18:49,-7305,1213,-2612,7852.193197
158, 2018-07-09 09:18:50,-7346,1200,-2752,7935.818798
159, 2018-07-09 09:18:50,-7505,1227,-2629,8046.253476
160, 2018-07-09 09:18:50,-7245,1189,-2579,7781.708489
161, 2018-07-09 09:18:50,-7243,1155,-2716,7821.235836
162, 2018-07-09 09:18:50,-7391,1193,-2797,7992.079767
163, 2018-07-09 09:18:50,-7363,1105,-2715,7925.024858
164, 2018-07-09 09:18:50,-7386,1032,-2706,7933.502127
