No, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch,Akselerasi
1, 2018-07-09 07:40:33,-8192,4224,787,-5638,-813,-2340,-54.68,6.69,9250.427504
2, 2018-07-09 07:40:33,-8192,2241,-401,-2038,3285,-1363,-54.89,6.54,8502.455292
3, 2018-07-09 07:40:33,-7383,-650,496,498,6296,-2263,-55.55,6.55,7428.136038
4, 2018-07-09 07:40:33,-6125,-401,1144,-1393,3535,-3120,-55.79,6.47,6243.809895
5, 2018-07-09 07:40:33,-5507,643,2067,-3779,596,-4208,-55.84,6.26,5917.177283
6, 2018-07-09 07:40:33,-6127,1095,1747,-4991,-2366,-4729,-55.71,5.97,6464.608495
7, 2018-07-09 07:40:33,-7269,923,187,-4584,-1792,-4532,-55.59,5.68,7329.751633
8, 2018-07-09 07:40:33,-7270,406,-48,-2465,1185,-4446,-55.67,5.4,7281.486112
9, 2018-07-09 07:40:33,-6335,884,379,-1170,1606,-5115,-55.81,5.27,6407.59877
10, 2018-07-09 07:40:33,-6414,1068,748,-1040,1654,-4817,-55.94,5.18,6545.190906
11, 2018-07-09 07:40:33,-7054,559,860,-1390,819,-3732,-56,5.1,7128.183289
12, 2018-07-09 07:40:33,-7372,-799,947,-2084,-731,-2938,-56,4.91,7475.399254
13, 2018-07-09 07:40:33,-7457,-766,1149,-2143,-2433,-2773,-55.9,4.76,7583.78573
14, 2018-07-09 07:40:33,-8192,-657,924,-1958,-4247,-2958,-55.7,4.62,8270.083978
15, 2018-07-09 07:40:33,-8192,-389,788,-2503,-2584,-3231,-55.59,4.46,8239.000485
16, 2018-07-09 07:40:33,-8192,-443,386,-3750,-957,-3071,-55.58,4.23,8213.04505
17, 2018-07-09 07:40:33,-8192,1118,100,-2694,578,-1318,-55.69,3.94,8268.542072
18, 2018-07-09 07:40:33,-8192,976,634,1047,2465,2276,-55.96,3.95,8274.261055
19, 2018-07-09 07:40:33,-8192,-1359,1893,26,-268,589,-56.08,3.96,8516.994423
