No, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch,Akselerasi
1, 2018-07-09 08:45:41,-4854,1045,-466,574,1744,789,-75.27,13.56,4987.032885
2, 2018-07-09 08:45:41,-4371,423,-297,-25,-1156,142,-75.15,13.57,4401.45192
3, 2018-07-09 08:45:41,-6199,1222,-1561,-1856,-958,-1495,-75,13.47,6508.272121
4, 2018-07-09 08:45:41,-6217,1124,-1684,-685,943,-3779,-74.99,13.39,6538.372963
5, 2018-07-09 08:45:41,-5253,1155,-1677,1005,1494,-3921,-75,13.43,5633.858624
6, 2018-07-09 08:45:41,-5862,1334,-2875,-768,1404,-3034,-75.03,13.39,6663.949655
7, 2018-07-09 08:45:41,-7412,1509,-2421,-1302,2459,-2724,-75.14,13.31,7942.044195
8, 2018-07-09 08:45:41,-7427,1052,-1696,-2358,2943,-3112,-75.3,13.17,7690.477814
9, 2018-07-09 08:45:41,-6647,1653,-2282,-2422,3141,-2549,-75.45,13.01,7219.59431
10, 2018-07-09 08:45:41,-5999,2736,-2066,-2139,929,-1572,-75.49,12.89,6909.562432
11, 2018-07-09 08:45:41,-4895,1959,-1683,-2037,-314,-1135,-75.4,12.77,5534.5456
12, 2018-07-09 08:45:41,-5250,183,-771,-2225,-1172,-1494,-75.27,12.63,5309.466075
13, 2018-07-09 08:45:41,-7305,1315,1245,-5006,-5042,-711,-75.01,12.36,7526.106231
14, 2018-07-09 08:45:41,-8192,3318,784,-5352,-15815,1092,-74.22,12.04,8873.141721
15, 2018-07-09 08:45:41,-8192,3419,921,-1862,-19596,1328,-72.98,11.93,8924.498081
16, 2018-07-09 08:45:42,-8192,-354,7053,-2405,2226,-966,-73.2,11.72,10815.68255
17, 2018-07-09 08:45:42,-8192,-129,-2684,6869,27760,-1274,-74.97,12.06,8621.447732
18, 2018-07-09 08:45:42,-7892,-764,-3108,-3051,8697,-4549,-75.99,12.09,8516.279939
19, 2018-07-09 08:45:42,-8192,2519,-2689,-5413,3452,-4817,-76.29,11.82,8982.479947
20, 2018-07-09 08:45:42,-8192,1312,-4038,-1481,-1244,-2399,-76.29,11.66,9226.898287
21, 2018-07-09 08:45:42,-8192,942,-1777,1405,-2233,-1068,-76.18,11.72,8435.280493
22, 2018-07-09 08:45:42,-7199,957,-1199,861,-2003,-2014,-76.03,11.77,7360.642024
23, 2018-07-09 08:45:42,-5197,1144,-656,347,-1359,-2471,-75.88,11.79,5361.705046
24, 2018-07-09 08:45:42,-4559,1058,-343,235,-3723,-2083,-75.6,11.8,4692.706469
25, 2018-07-09 08:45:42,-5981,8,-1077,-249,-3644,-724,-75.29,11.77,6077.19952
26, 2018-07-09 08:45:42,-5892,347,-1202,-544,1573,905,-75.27,11.7,6023.360939
27, 2018-07-09 08:45:42,-4053,155,-958,-1005,303,1392,-75.22,11.59,4167.564996
28, 2018-07-09 08:45:42,-2946,425,-338,-217,-477,-220,-75.09,11.53,2995.627647
29, 2018-07-09 08:45:42,-5075,1230,-2229,-419,-6511,441,-74.5,11.49,5677.76065
30, 2018-07-09 08:45:42,-7383,804,-3577,-640,-3471,1042,-74.19,11.44,8243.181061
31, 2018-07-09 08:45:42,-7221,1165,-1559,48,-1777,1905,-74.06,11.44,7478.67281
32, 2018-07-09 08:45:42,-7655,390,-2621,139,-2620,1909,-73.89,11.43,8100.664541
33, 2018-07-09 08:45:42,-8192,754,-1322,-1010,-2673,2779,-73.75,11.37,8332.170426
34, 2018-07-09 08:45:42,-8192,680,-1005,-1647,-1935,2432,-73.65,11.25,8281.382071
35, 2018-07-09 08:45:42,-8192,349,-1137,-866,3426,534,-73.83,11.17,8277.888257
36, 2018-07-09 08:45:42,-8192,946,859,1324,-1737,-404,-73.99,11.21,8291.0591
37, 2018-07-09 08:45:42,-8192,1490,1959,-1097,-10389,-412,-73.47,11.22,8553.750347
38, 2018-07-09 08:45:42,-7622,2640,1907,-832,-13996,-10,-72.58,11.19,8288.614661
39, 2018-07-09 08:45:42,-8192,2542,-2235,384,12734,104,-73.38,11.29,8863.738094
