No, waktu, accx, accY, accZ,Akselerasi
1, 2018-07-09 06:17:33,-7286,4362,-295,8497.050371
2, 2018-07-09 06:17:33,-8192,1832,-2175,8671.546171
3, 2018-07-09 06:17:33,-8192,125,-1953,8422.511383
4, 2018-07-09 06:17:33,-8192,1387,-2358,8636.712164
5, 2018-07-09 06:17:33,-8192,4026,551,9144.459579
6, 2018-07-09 06:17:33,-8192,7432,4467,11928.85481
7, 2018-07-09 06:17:33,-8192,5678,1147,10033.15289
8, 2018-07-09 06:17:33,-8192,981,3848,9103.753567
9, 2018-07-09 06:17:33,-7098,-2019,4921,8869.848138
10, 2018-07-09 06:17:33,-5260,-2654,2919,6575.095208
11, 2018-07-09 06:17:34,-5353,-697,394,5412.545981
12, 2018-07-09 06:17:34,-6344,8192,1232,10434.22369
13, 2018-07-09 06:17:34,-6972,5252,1916,8936.629342
14, 2018-07-09 06:17:34,-8192,647,-333,8224.254495
15, 2018-07-09 06:17:34,-7840,-482,-547,7873.825817
16, 2018-07-09 06:17:34,-6428,-1221,1029,6623.357608
17, 2018-07-09 06:17:34,-5234,445,634,5291.005292
18, 2018-07-09 06:17:34,-5396,2183,-106,5821.815954
19, 2018-07-09 06:17:34,-5929,2666,-422,6514.497755
20, 2018-07-09 06:17:34,-6518,2178,-1208,6977.626531
21, 2018-07-09 06:17:34,-7741,1287,-1337,7960.340382
22, 2018-07-09 06:17:34,-8192,634,-439,8228.216149
23, 2018-07-09 06:17:34,-7063,-363,1226,7177.800081
24, 2018-07-09 06:17:34,-7079,-1024,-137,7153.990914
25, 2018-07-09 06:17:34,-8192,963,-3890,9119.667373
26, 2018-07-09 06:17:34,-8192,2984,-2909,9191.050049
27, 2018-07-09 06:17:34,-8192,2480,4974,9899.491906
28, 2018-07-09 06:17:34,-8192,1122,2520,8643.965988
29, 2018-07-09 06:17:34,-8192,945,-957,8301.670796
30, 2018-07-09 06:17:34,-6424,752,4105,7660.56819
31, 2018-07-09 06:17:34,-3944,3724,3104,6249.65023
32, 2018-07-09 06:17:34,-4669,3685,1127,6053.834735
33, 2018-07-09 06:17:34,-6770,1085,1572,7034.295203
34, 2018-07-09 06:17:34,-8192,-1426,1855,8519.587138
35, 2018-07-09 06:17:34,-8192,-1650,583,8376.828338
36, 2018-07-09 06:17:34,-7937,907,-93,7989.196893
37, 2018-07-09 06:17:34,-6048,3989,542,7265.27281
38, 2018-07-09 06:17:34,-6548,2938,-280,7182.377601
39, 2018-07-09 06:17:34,-7107,1133,-501,7214.162391
40, 2018-07-09 06:17:34,-6263,425,676,6313.697015
41, 2018-07-09 06:17:34,-5945,1113,78,6048.79145
42, 2018-07-09 06:17:34,-6179,1952,-799,6529.069306
43, 2018-07-09 06:17:34,-6768,2145,-1315,7220.531421
44, 2018-07-09 06:17:34,-7563,1515,-942,7770.557123
45, 2018-07-09 06:17:34,-7873,757,533,7927.248388
46, 2018-07-09 06:17:34,-7968,382,1300,8082.385044
47, 2018-07-09 06:17:34,-8192,1074,156,8263.575255
48, 2018-07-09 06:17:34,-8192,3280,-2870,9279.232942
49, 2018-07-09 06:17:35,-8192,4200,-3668,9909.747121
50, 2018-07-09 06:17:35,-8192,5880,584,10100.70889
51, 2018-07-09 06:17:35,-8192,6760,4484,11528.77791
52, 2018-07-09 06:17:35,-8192,3934,1464,9204.809395
53, 2018-07-09 06:17:35,-8192,1063,2246,8560.569432
54, 2018-07-09 06:17:35,-4339,-2024,3080,5692.969085
55, 2018-07-09 06:17:35,-2776,-1926,2607,4267.563825
56, 2018-07-09 06:17:35,-4398,-981,2172,5002.234401
57, 2018-07-09 06:17:35,-8192,1551,785,8374.406845
58, 2018-07-09 06:17:35,-8192,5189,1148,9764.859907
59, 2018-07-09 06:17:35,-8192,2180,-328,8483.445526
60, 2018-07-09 06:17:35,-8192,-152,-319,8199.617613
61, 2018-07-09 06:17:35,-7180,-1493,1045,7407.663194
62, 2018-07-09 06:17:35,-5481,439,313,5507.454131
63, 2018-07-09 06:17:35,-5560,3131,97,6381.705885
64, 2018-07-09 06:17:35,-5661,2313,-236,6119.851796
65, 2018-07-09 06:17:35,-6879,793,-913,6984.487025
66, 2018-07-09 06:17:35,-7764,131,-1492,7907.143669
67, 2018-07-09 06:17:35,-7918,450,-851,7976.303969
68, 2018-07-09 06:17:35,-7603,1265,-1041,7777.500563
69, 2018-07-09 06:17:35,-7072,1358,-450,7215.25107
70, 2018-07-09 06:17:35,-6236,657,1144,6374.016081
71, 2018-07-09 06:17:35,-7850,548,-1008,7933.402045
72, 2018-07-09 06:17:35,-8192,2075,-3145,9016.957026
73, 2018-07-09 06:17:35,-8192,3401,-2591,9240.613941
74, 2018-07-09 06:17:35,-8192,1892,1031,8470.625065
75, 2018-07-09 06:17:35,-8192,87,3146,8775.747774
76, 2018-07-09 06:17:35,-8192,-856,1169,8319.144247
77, 2018-07-09 06:17:35,-8192,-320,2937,8708.457556
78, 2018-07-09 06:17:35,-7312,1729,2508,7921.164624
79, 2018-07-09 06:17:35,-4674,5467,673,7224.077381
80, 2018-07-09 06:17:35,-4552,2715,1664,5555.252019
81, 2018-07-09 06:17:35,-6798,-2093,3405,7885.903753
82, 2018-07-09 06:17:35,-7881,-3416,2168,8858.862286
83, 2018-07-09 06:17:35,-8167,-330,-22,8173.693963
84, 2018-07-09 06:17:35,-7906,2077,777,8211.120143
85, 2018-07-09 06:17:35,-6320,6074,438,8776.543739
86, 2018-07-09 06:17:35,-7090,1886,-573,7358.901073
87, 2018-07-09 06:17:35,-6748,657,183,6782.377312
88, 2018-07-09 06:17:36,-6340,300,506,6367.231423
89, 2018-07-09 06:17:36,-6578,987,-758,6694.685728
90, 2018-07-09 06:17:36,-6804,1589,-1041,7064.20682
91, 2018-07-09 06:17:36,-7359,1339,-1008,7547.441023
92, 2018-07-09 06:17:36,-7262,1465,-383,7418.191019
93, 2018-07-09 06:17:36,-6627,1937,1365,7037.92036
94, 2018-07-09 06:17:36,-7049,3045,108,7679.328747
95, 2018-07-09 06:17:36,-8192,3196,-3323,9400.298346
96, 2018-07-09 06:17:36,-8192,1331,-3422,8977.221675
97, 2018-07-09 06:17:36,-8192,4246,3119,9739.894301
98, 2018-07-09 06:17:36,-8192,5514,3553,10494.61143
99, 2018-07-09 06:17:36,-8192,1521,1019,8394.085179
100, 2018-07-09 06:17:36,-7326,-447,4384,8549.24213
101, 2018-07-09 06:17:36,-5109,-1908,5096,7464.017752
102, 2018-07-09 06:17:36,-4934,-2201,2724,6050.53163
103, 2018-07-09 06:17:36,-8192,1000,-495,8267.641078
104, 2018-07-09 06:17:36,-6949,7404,-649,10174.92103
105, 2018-07-09 06:17:36,-7204,5174,1797,9049.701708
106, 2018-07-09 06:17:36,-7302,3249,541,8010.486003
107, 2018-07-09 06:17:36,-7255,1343,-342,7386.17885
108, 2018-07-09 06:17:36,-5871,-865,370,5945.903296
109, 2018-07-09 06:17:36,-5547,3,560,5575.196678
110, 2018-07-09 06:17:36,-5931,1227,-53,6056.822517
111, 2018-07-09 06:17:36,-6127,1621,-470,6355.2081
112, 2018-07-09 06:17:36,-6263,1087,-1158,6461.246165
113, 2018-07-09 06:17:36,-6576,306,-2013,6884.009079
114, 2018-07-09 06:17:36,-6983,892,-1395,7176.627202
115, 2018-07-09 06:17:36,-7501,1667,-630,7709.785341
116, 2018-07-09 06:17:36,-7788,2243,512,8120.72269
117, 2018-07-09 06:17:36,-7709,630,1187,7825.250795
118, 2018-07-09 06:17:36,-8009,-274,-561,8033.298077
119, 2018-07-09 06:17:36,-8192,1916,-4389,9489.111708
120, 2018-07-09 06:17:36,-8192,3648,-4039,9835.155769
121, 2018-07-09 06:17:36,-8192,1999,-743,8465.040697
122, 2018-07-09 06:17:36,-8192,-1609,4989,9725.629337
123, 2018-07-09 06:17:36,-8192,-2683,2527,8982.932817
124, 2018-07-09 06:17:36,-8192,-1072,2736,8703.088188
125, 2018-07-09 06:17:36,-6690,1190,3717,7745.210714
126, 2018-07-09 06:17:36,-3464,7184,1913,8201.751094
127, 2018-07-09 06:17:37,-4263,5339,218,6835.613652
128, 2018-07-09 06:17:37,-5930,1208,3578,7030.38036
129, 2018-07-09 06:17:37,-7756,-4520,2591,9343.405
130, 2018-07-09 06:17:37,-7837,-3573,916,8661.636912
131, 2018-07-09 06:17:37,-7083,603,59,7108.866225
132, 2018-07-09 06:17:37,-7539,2784,571,8056.87396
133, 2018-07-09 06:17:37,-6637,2526,-628,7129.153456
134, 2018-07-09 06:17:37,-6692,75,-381,6703.256671
135, 2018-07-09 06:17:37,-6199,614,337,6238.442594
136, 2018-07-09 06:17:37,-6252,1175,52,6361.669042
137, 2018-07-09 06:17:37,-6638,1837,-1596,7069.994979
138, 2018-07-09 06:17:37,-7098,1951,-1575,7527.856933
139, 2018-07-09 06:17:37,-7295,1563,-800,7503.332193
140, 2018-07-09 06:17:37,-7316,1265,-342,7432.431971
141, 2018-07-09 06:17:37,-7133,2159,-585,7475.506337
142, 2018-07-09 06:17:37,-8192,4550,-2085,9599.92651
143, 2018-07-09 06:17:37,-8192,5244,-3728,10416.63977
144, 2018-07-09 06:17:37,-8192,4498,-890,9387.916063
145, 2018-07-09 06:17:37,-8192,2910,2356,9007.09165
146, 2018-07-09 06:17:37,-8192,1210,375,8289.366019
147, 2018-07-09 06:17:37,-8192,-101,2589,8591.972183
148, 2018-07-09 06:17:37,-5921,-1056,4621,7584.656749
149, 2018-07-09 06:17:37,-5470,-1622,3900,6910.990088
150, 2018-07-09 06:17:37,-7329,1296,-654,7471.383607
151, 2018-07-09 06:17:37,-8192,4949,-1516,9690.18684
152, 2018-07-09 06:17:37,-7810,4575,1185,9128.57875
153, 2018-07-09 06:17:37,-7037,2786,803,7610.911509
154, 2018-07-09 06:17:37,-6919,393,-689,6964.318416
155, 2018-07-09 06:17:37,-6406,-528,-226,6431.694644
156, 2018-07-09 06:17:37,-6018,-379,291,6036.940119
157, 2018-07-09 06:17:37,-6216,1395,-123,6371.798019
158, 2018-07-09 06:17:37,-6569,2087,-513,6911.620577
159, 2018-07-09 06:17:37,-6566,1756,-856,6850.447285
160, 2018-07-09 06:17:37,-6388,607,-778,6463.766472
161, 2018-07-09 06:17:37,-6944,772,-650,7016.95233
162, 2018-07-09 06:17:37,-7854,1669,-382,8038.457626
163, 2018-07-09 06:17:37,-8048,1340,1188,8244.831593
164, 2018-07-09 06:17:37,-8192,-903,488,8256.053355
165, 2018-07-09 06:17:37,-8192,-738,-3004,8756.570333
166, 2018-07-09 06:17:38,-8192,2081,-4965,9802.583843
167, 2018-07-09 06:17:38,-8192,3107,-1114,8831.9482
168, 2018-07-09 06:17:38,-8192,886,4131,9217.321791
169, 2018-07-09 06:17:38,-8192,-756,1470,8357.110745
170, 2018-07-09 06:17:38,-8192,-525,3980,9122.767617
171, 2018-07-09 06:17:38,-4564,1987,3372,6012.374656
172, 2018-07-09 06:17:38,-3345,6060,1409,7063.844987
173, 2018-07-09 06:17:38,-5938,2153,420,6330.217453
174, 2018-07-09 06:17:38,-7798,-1651,2233,8277.734835
175, 2018-07-09 06:17:38,-8192,-3153,2276,9068.100628
176, 2018-07-09 06:17:38,-8192,643,-628,8241.158717
177, 2018-07-09 06:17:38,-8192,2951,231,8710.374619
178, 2018-07-09 06:17:38,-6533,3186,-736,7305.640355
179, 2018-07-09 06:17:38,-5339,1423,-692,5568.546848
180, 2018-07-09 06:17:38,-4733,946,551,4857.963153
181, 2018-07-09 06:17:38,-6270,1225,-52,6388.758017
182, 2018-07-09 06:17:38,-7304,1790,-1858,7746.268779
183, 2018-07-09 06:17:38,-7378,1613,-1862,7778.412242
184, 2018-07-09 06:17:38,-6589,810,-763,6682.304243
185, 2018-07-09 06:17:38,-6098,1241,-136,6224.482388
186, 2018-07-09 06:17:38,-6605,1978,1125,6985.995563
187, 2018-07-09 06:17:38,-7768,3676,-487,8607.669197
188, 2018-07-09 06:17:38,-8192,3849,-4057,9918.816159
189, 2018-07-09 06:17:38,-8192,2446,-3171,9118.498835
190, 2018-07-09 06:17:38,-8192,4097,3823,9925.200351
191, 2018-07-09 06:17:38,-8192,4771,1429,9587.14483
192, 2018-07-09 06:17:38,-8192,2125,-704,8492.35568
193, 2018-07-09 06:17:38,-6767,1720,3654,7880.507915
194, 2018-07-09 06:17:38,-4991,-937,4798,6986.333373
