No, id_percobaan, id_pasien, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch
1,83,2, 2018-07-09 07:49:39,-7499,1463,1583,65,-728,-304,-0.04,0.01
2,83,2, 2018-07-09 07:49:39,-8192,1481,1098,-211,-457,-27,-0.23,0.02
3,83,2, 2018-07-09 07:49:39,-7964,1188,1251,-490,1274,-91,-0.57,0.02
4,83,2, 2018-07-09 07:49:39,-7407,645,1353,-2297,880,-33,-0.87,-0.11
5,83,2, 2018-07-09 07:49:39,-7672,1221,604,-3357,-1031,96,-1.03,-0.4
6,83,2, 2018-07-09 07:49:39,-8000,2059,641,-1754,-198,197,-1.2,-0.56
7,83,2, 2018-07-09 07:49:39,-7695,1936,1013,-1495,39,184,-1.42,-0.65
8,83,2, 2018-07-09 07:49:39,-7646,1836,886,-1157,-153,-97,-1.54,-0.7
9,83,2, 2018-07-09 07:49:39,-7741,1933,1070,-92,120,-412,-1.68,-0.69
10,83,2, 2018-07-09 07:49:39,-7982,1906,1416,1111,380,-428,-1.93,-0.57
11,83,2, 2018-07-09 07:49:39,-8174,1474,1182,1454,1359,-414,-2.27,-0.41
12,83,2, 2018-07-09 07:49:39,-8192,1177,1777,1765,1176,-917,-2.67,-0.22
13,83,2, 2018-07-09 07:49:39,-6958,1190,609,2873,4666,831,-3.05,0.04
14,83,2, 2018-07-09 07:49:39,-7022,942,2878,-580,-338,-897,-3.47,0.05
15,83,2, 2018-07-09 07:49:39,-8192,1240,-211,-861,-750,214,-3.48,-0.01
16,83,2, 2018-07-09 07:49:39,-7884,1568,1691,570,1952,141,-3.9,0.05
17,83,2, 2018-07-09 07:49:39,-7592,1533,1679,-73,-114,-218,-4.05,0.08
18,83,2, 2018-07-09 07:49:39,-7508,1560,1483,-164,-422,-364,-4.19,0.09
19,83,2, 2018-07-09 07:49:39,-7794,1701,1154,280,-255,-257,-4.36,0.14
20,83,2, 2018-07-09 07:49:39,-7857,1411,1336,803,-240,-96,-4.55,0.24
21,83,2, 2018-07-09 07:49:39,-8009,1194,874,150,-612,134,-4.71,0.29
22,83,2, 2018-07-09 07:49:39,-7538,1126,1205,213,484,226,-4.94,0.33
23,83,2, 2018-07-09 07:49:39,-7647,1431,1103,-90,-854,493,-5.07,0.36
24,83,2, 2018-07-09 07:49:40,-8097,1519,981,-66,-565,402,-5.23,0.38
25,83,2, 2018-07-09 07:49:40,-7883,1352,1340,-61,-61,204,-5.43,0.41
26,83,2, 2018-07-09 07:49:40,-7796,1424,957,-157,-19,67,-5.62,0.42
27,83,2, 2018-07-09 07:49:40,-7770,1387,1319,-275,293,-5,-5.85,0.43
28,83,2, 2018-07-09 07:49:40,-7748,1327,1145,-337,277,-171,-6.07,0.43
29,83,2, 2018-07-09 07:49:40,-7516,1493,1272,-410,3,-112,-6.27,0.42
30,83,2, 2018-07-09 07:49:40,-7715,1647,1108,-386,-511,-55,-6.37,0.42
31,83,2, 2018-07-09 07:49:40,-7867,1563,1112,-19,-131,-81,-6.54,0.44
32,83,2, 2018-07-09 07:49:40,-7627,1504,1400,-241,-173,-14,-6.72,0.46
33,83,2, 2018-07-09 07:49:40,-7787,1577,1305,-473,-736,-30,-6.86,0.45
34,83,2, 2018-07-09 07:49:40,-8030,1581,1186,3,-159,39,-7.04,0.47
35,83,2, 2018-07-09 07:49:40,-7897,1459,1281,-49,325,12,-7.26,0.5
36,83,2, 2018-07-09 07:49:40,-7566,1336,1395,-23,216,1,-7.48,0.52
37,83,2, 2018-07-09 07:49:40,-7673,1458,1599,187,-253,67,-7.65,0.56
38,83,2, 2018-07-09 07:49:40,-7814,1531,1480,51,-237,-55,-7.81,0.6
39,83,2, 2018-07-09 07:49:40,-7727,1426,1578,-233,-83,-50,-8,0.62
40,83,2, 2018-07-09 07:49:40,-7841,1400,1486,-407,-428,76,-8.16,0.61
41,83,2, 2018-07-09 07:49:40,-7840,1621,1259,16,-100,39,-8.33,0.63
42,83,2, 2018-07-09 07:49:40,-7637,1669,1501,218,45,104,-8.53,0.68
43,83,2, 2018-07-09 07:49:40,-7756,1586,1449,84,-454,25,-8.68,0.72
44,83,2, 2018-07-09 07:49:40,-7884,1514,1482,263,-204,-96,-8.84,0.77
45,83,2, 2018-07-09 07:49:40,-7885,1451,1383,219,175,-42,-9.05,0.82
46,83,2, 2018-07-09 07:49:40,-7780,1483,1461,328,535,92,-9.28,0.88
47,83,2, 2018-07-09 07:49:40,-7732,1544,1474,433,337,46,-9.5,0.94
48,83,2, 2018-07-09 07:49:40,-7744,1627,1467,444,429,2,-9.72,1.01
49,83,2, 2018-07-09 07:49:40,-7742,1598,1392,518,255,-32,-9.93,1.09
50,83,2, 2018-07-09 07:49:40,-7760,1694,1398,630,466,-40,-10.15,1.18
51,83,2, 2018-07-09 07:49:40,-7805,1592,1442,715,546,-152,-10.39,1.27
52,83,2, 2018-07-09 07:49:40,-7857,1502,1376,852,515,-102,-10.54,1.34
53,83,2, 2018-07-09 07:49:40,-7760,1544,1417,975,849,37,-10.8,1.46
54,83,2, 2018-07-09 07:49:40,-7679,1544,1593,812,615,-65,-11.04,1.56
55,83,2, 2018-07-09 07:49:40,-7794,1477,1488,666,508,-68,-11.27,1.65
56,83,2, 2018-07-09 07:49:40,-7775,1451,1389,612,645,20,-11.5,1.74
57,83,2, 2018-07-09 07:49:40,-7741,1500,1496,569,703,120,-11.75,1.82
58,83,2, 2018-07-09 07:49:40,-7865,1566,1431,519,399,156,-11.97,1.89
59,83,2, 2018-07-09 07:49:40,-7730,1611,1194,608,1032,130,-12.23,1.97
60,83,2, 2018-07-09 07:49:40,-7608,1595,1327,589,882,95,-12.4,2.03
61,83,2, 2018-07-09 07:49:41,-7856,1751,1302,531,467,92,-12.62,2.11
62,83,2, 2018-07-09 07:49:41,-7918,1721,1069,954,1096,-17,-12.89,2.21
63,83,2, 2018-07-09 07:49:41,-7674,1560,1087,1162,1215,12,-13.18,2.34
64,83,2, 2018-07-09 07:49:41,-7537,1383,1331,747,677,-45,-13.42,2.45
65,83,2, 2018-07-09 07:49:41,-7813,1392,1280,86,267,-183,-13.62,2.5
66,83,2, 2018-07-09 07:49:41,-7877,1444,1266,-168,578,-193,-13.85,2.51
67,83,2, 2018-07-09 07:49:41,-7729,1492,1242,-419,910,-183,-14.1,2.5
68,83,2, 2018-07-09 07:49:41,-7777,1472,1313,-874,602,-128,-14.34,2.46
69,83,2, 2018-07-09 07:49:41,-7801,1518,1243,-1020,671,-143,-14.49,2.41
70,83,2, 2018-07-09 07:49:41,-7647,1600,1300,-1205,800,-317,-14.73,2.33
71,83,2, 2018-07-09 07:49:41,-7695,1698,1156,-1136,379,-328,-14.87,2.28
72,83,2, 2018-07-09 07:49:41,-7824,1686,1035,-982,323,-235,-15,2.24
73,83,2, 2018-07-09 07:49:41,-7742,1634,1195,-985,675,-225,-15.23,2.18
74,83,2, 2018-07-09 07:49:41,-7612,1661,1141,-997,447,-310,-15.37,2.14
75,83,2, 2018-07-09 07:49:41,-7825,1615,1106,-982,-74,-307,-15.54,2.07
76,83,2, 2018-07-09 07:49:41,-7947,1431,923,-952,240,-330,-15.67,2.03
77,83,2, 2018-07-09 07:49:41,-7753,1445,1117,-1065,699,-311,-15.82,1.99
78,83,2, 2018-07-09 07:49:41,-7725,1720,1021,-958,226,-136,-16.02,1.92
79,83,2, 2018-07-09 07:49:41,-7777,1604,1044,-821,493,-163,-16.22,1.87
80,83,2, 2018-07-09 07:49:41,-7773,1438,1098,-1006,302,-204,-16.42,1.81
81,83,2, 2018-07-09 07:49:41,-7716,1514,1023,-1009,290,-123,-16.55,1.77
82,83,2, 2018-07-09 07:49:41,-7686,1697,1116,-863,26,-90,-16.72,1.71
83,83,2, 2018-07-09 07:49:41,-7841,1612,964,-743,33,-140,-16.88,1.67
84,83,2, 2018-07-09 07:49:41,-7822,1512,1061,-807,309,-184,-17.08,1.63
85,83,2, 2018-07-09 07:49:41,-7719,1495,1027,-813,277,-133,-17.2,1.6
86,83,2, 2018-07-09 07:49:41,-7677,1391,1083,-835,82,-154,-17.37,1.55
87,83,2, 2018-07-09 07:49:41,-7796,1235,1163,-1098,-187,-206,-17.47,1.5
88,83,2, 2018-07-09 07:49:41,-7851,1603,907,-1318,-138,-246,-17.62,1.41
89,83,2, 2018-07-09 07:49:41,-7741,1608,1077,-906,44,-159,-17.79,1.34
