No, id_percobaan, id_pasien, waktu, accx, accY, accZ, gyroX, gyroY, gyroZ, roll, pitch
454,3,2, 2018-07-09 08:35:42,-7851,1236,-356,-855,-291,-85,-52.16,-30.97
455,3,2, 2018-07-09 08:35:42,-7870,1313,-342,-1079,-195,-181,-52.19,-30.95
456,3,2, 2018-07-09 08:35:42,-7890,1030,-326,-1575,-118,-361,-52.23,-30.96
457,3,2, 2018-07-09 08:35:42,-7803,1071,-403,-1602,-322,-445,-52.26,-30.98
458,3,2, 2018-07-09 08:35:42,-7773,1283,-253,-1502,-562,-409,-52.26,-31
459,3,2, 2018-07-09 08:35:42,-7921,1408,-224,-1633,-652,-367,-52.27,-31.01
460,3,2, 2018-07-09 08:35:42,-7971,1358,-216,-1419,-348,-473,-52.29,-31.02
461,3,2, 2018-07-09 08:35:42,-7804,1350,-212,-1258,-390,-417,-52.31,-31.02
462,3,2, 2018-07-09 08:35:42,-7881,1247,-302,-1331,-733,-442,-52.31,-31.02
463,3,2, 2018-07-09 08:35:42,-7858,1292,-228,-1125,-604,-360,-52.31,-31.01
464,3,2, 2018-07-09 08:35:42,-7795,1367,-146,-717,-419,-108,-52.33,-30.98
465,3,2, 2018-07-09 08:35:42,-7834,1481,-145,-395,-420,-140,-52.34,-30.92
466,3,2, 2018-07-09 08:35:42,-7864,1436,-232,54,-475,-137,-52.35,-30.84
467,3,2, 2018-07-09 08:35:42,-7719,1561,298,797,-673,210,-52.36,-30.67
468,3,2, 2018-07-09 08:35:42,-7452,1076,695,841,-1087,166,-52.33,-30.54
469,3,2, 2018-07-09 08:35:42,-7580,924,243,-280,-823,226,-52.27,-30.4
470,3,2, 2018-07-09 08:35:42,-6954,-523,1928,-5359,247,-21,-52.32,-30.65
471,3,2, 2018-07-09 08:35:42,-7143,-2825,1540,-9183,-1493,-1459,-52.26,-31.15
472,3,2, 2018-07-09 08:35:42,-7589,-990,-1208,-11302,-1399,2787,-52.21,-31.77
473,3,2, 2018-07-09 08:35:42,-8192,3006,-4723,-5219,-570,270,-52.25,-32.09
474,3,2, 2018-07-09 08:35:42,-8192,3288,-1031,-3223,-575,-1486,-52.31,-32.17
475,3,2, 2018-07-09 08:35:42,-8192,1553,-1560,-3047,1791,-3481,-52.45,-32.29
476,3,2, 2018-07-09 08:35:42,-6801,1325,-793,-387,187,-3033,-52.51,-32.26
477,3,2, 2018-07-09 08:35:42,-6327,2182,-1437,647,115,-2166,-52.5,-32.15
478,3,2, 2018-07-09 08:35:42,-6667,1584,-1152,1530,-123,-1484,-52.49,-31.97
479,3,2, 2018-07-09 08:35:42,-7214,693,-1490,1677,-241,-1276,-52.49,-31.8
480,3,2, 2018-07-09 08:35:42,-8046,1199,-1718,1832,919,-1051,-52.58,-31.61
481,3,2, 2018-07-09 08:35:42,-7742,1076,-1363,1923,688,-886,-52.67,-31.41
482,3,2, 2018-07-09 08:35:42,-7535,915,-2072,2638,1141,-1046,-52.76,-31.19
483,3,2, 2018-07-09 08:35:42,-7911,1465,-2346,5010,1099,-1066,-52.87,-30.83
484,3,2, 2018-07-09 08:35:42,-7743,1348,-1671,5691,1373,-1290,-52.99,-30.4
485,3,2, 2018-07-09 08:35:42,-6762,932,-1201,4718,406,-1471,-53.03,-30.03
486,3,2, 2018-07-09 08:35:43,-6315,85,-1431,5688,-612,-780,-53.01,-29.63
487,3,2, 2018-07-09 08:35:43,-6913,-144,-1280,5286,-1682,-356,-52.92,-29.24
488,3,2, 2018-07-09 08:35:43,-7190,-231,-525,4347,-1547,-44,-52.83,-28.91
