# min,max,mean,stdev,median,variance,label
125.7998356,19903.18571,5952.037509,7188.597225,4359.706624,51675930.06,1
-44.51702441,8761.721172,3101.966266,3316.184056,1139.929741,10997076.69,1
-1829.647183,3818.137386,1278.592492,2213.019442,829.1261377,4897455.05,1
-7889.564895,-274.3884857,-2924.56839,2737.808476,-2607.805739,7495595.252,1
-9453.963086,387.2327543,-3684.086353,3688.291563,-2022.943176,13603494.65,1
-3368.830048,265.5071554,-1441.683238,1497.751686,-503.4356114,2243260.112,1
-1726.892367,769.4407379,-119.9637689,851.5977755,185.3604341,725218.7712,1
13.23305194,10925.39244,3591.372387,3943.928709,2888.102589,15554573.66,1
-106.2660763,968.3295191,246.2683655,383.0102344,45.11055324,146696.8397,1
-4673.025876,1637.423406,-1553.397837,2167.960858,-2139.632647,4700054.28,1
-1736.313899,1824.531885,134.5657328,1244.26412,125.0165799,1548193.2,1
-324.5883448,6255.914426,1615.05944,2383.954872,407.0154889,5683240.834,1
-4481.114958,981.1226004,-547.2065727,1993.968443,120.6323271,3975910.153,1
-3803.193419,1040.135083,-681.1532414,1645.410384,-292.8351945,2707375.332,1
608.5937454,32030.64781,9258.573381,11643.2464,3096.796294,135565186.6,1
-2331.593218,2124.165864,-66.26545479,1416.533206,-48.59487189,2006566.323,1
-365.5205552,1209.154485,417.6975236,530.8207553,391.9314629,281770.6742,1
-2799.79741,109.6738815,-872.2477853,1060.565958,-862.4554333,1124800.15,1
267.2016917,26128.6743,7439.34008,9624.172862,3344.136949,92624703.27,1
-185.7886852,3194.749424,1376.570849,1294.283915,972.3870032,1675170.853,1
-565.3052898,12248.93309,3574.028876,4765.791386,949.9711439,22712767.54,1
-1765.735055,6460.27504,971.4831168,2834.991054,111.903069,8037174.277,1
-4574.103756,1301.942682,-686.9223707,2014.749051,-92.69143696,4059213.739,1
-530.2884482,1958.634764,754.8115858,878.8088976,604.6303556,772305.0785,1
-14008.02478,-149.4924799,-4329.597753,4945.967272,-2387.963595,24462592.26,1
-1832.280628,2678.882163,303.821685,1906.008398,-217.8044397,3632868.013,1
-4000.327379,52.57378939,-1961.191187,1561.201351,-1191.989778,2437349.66,1
-4471.328321,439.7727663,-1567.980036,1809.418925,-764.3241345,3273996.846,1
-7395.184315,2787.74505,-1213.249767,3430.371145,-5.011333325,11767446.19,1
-109.1000765,13654.10568,5228.439067,4976.730522,4906.698851,24767846.69,1
-45.82754671,885.3652166,235.1659716,332.8701303,141.8327586,110802.5237,2
-85.66721112,1839.689416,486.6625715,708.0069714,164.76022,501273.8715,2
-29.46272806,1269.727642,356.0443143,480.5070657,117.6807126,230887.0402,2
14.54053019,788.7745084,243.0132421,287.6029484,103.5844269,82715.45593,2
-13.46038606,7776.986208,2211.286244,2925.245196,735.4771626,8557059.455,2
-446.2724191,55.25902667,-104.6035264,175.7896231,-50.44841657,30901.99157,2
-5.586250544,1005.231741,380.0225117,374.6083351,270.8916764,140331.4047,2
12.26304802,2825.829373,807.2643955,1065.651373,234.9696154,1135612.85,2
283.1438248,7570.251261,2555.093969,2643.861725,1099.840557,6990004.822,2
-828.3319618,16.29231139,-259.0730649,302.3183105,-123.1845339,91396.36088,2
-280.6100518,9009.615571,2532.198179,3446.787747,515.7042542,11880345.77,2
-48.9231504,672.3523879,187.4208588,255.1128841,87.07829717,65082.58362,2
-236.0015988,56.22812796,-101.486153,119.4145807,-102.4510625,14259.84209,2
-23.72076694,56.4638686,24.38967527,28.23165526,20.90650398,797.0263585,2
67.12431225,2068.33574,630.9738917,748.2992621,235.1095514,559951.7856,2
1.501130814,874.5196872,248.9979354,327.8325995,81.96185958,107474.2133,2
-30.22534262,1528.989384,491.8760599,566.7402571,382.3315194,321194.519,2
-605.7342795,-22.20007922,-226.2955163,206.7804847,-183.6752735,42758.16884,2
-304.2178398,-13.49342716,-97.33430641,111.058543,-27.70357612,12333.99997,2
-777.4665586,2.976651716,-212.3179382,297.0356242,-44.46926133,88230.16205,2
-10.70313318,51.60035264,15.85912865,23.65909725,8.594226779,559.7528829,2
-495.7287791,33.41429733,-126.6983186,196.9671079,-7.537351565,38796.04158,2
-189.9828425,4390.482805,1208.236337,1681.093459,326.4370253,2826075.216,2
-2847.255916,2.536372576,-808.9934667,1081.014847,-181.0975746,1168593.1,2
-1571.231846,-15.3217428,-452.5504527,587.6759034,-115.3636195,345362.9674,2
-18.56632002,2108.080559,610.3184421,783.7612468,156.6202677,614281.6919,2
24.55079356,1772.115057,562.4464564,637.1299569,217.5856321,405934.582,2
-1098.495632,104.9434468,-280.5569575,438.3229048,-90.38924953,192126.9689,2
-272.201191,70.92791494,-47.46481103,120.7279361,-18.10556102,14575.23455,2
13.94284691,1202.532502,355.2944841,440.3549648,118.7347855,193912.495,2
-15712.54935,-150.4089652,-4166.536436,5919.963235,-862.701242,35045964.7,3
303.5499411,21967.16809,7339.736007,7926.252307,3941.200482,62825475.63,3
-702.8482076,4021.195284,1615.598299,1800.658869,1354.956063,3242372.363,3
274.8051134,17177.97027,5179.633556,6168.95774,3074.97602,38056039.59,3
-30598.15036,-731.0394421,-9444.335292,10892.61539,-4720.501755,118649070.1,3
-460.5394413,7174.502023,2375.261333,3025.568253,478.0371539,9154063.251,3
9.37350434,13874.36584,4870.763156,5054.778847,3809.717938,25550789.19,3
-3033.383025,630.9020772,-372.9637946,1362.063198,86.34543706,1855216.155,3
