# min,max,mean,stdev,median,variance,label
1.257998355668556769e+02,1.990318570773643296e+04,5.952037509473722821e+03,7.188597225023990177e+03,4.359706624332203319e+03,5.167593006362260878e+07,1.000000000000000000e+00
-4.451702440999360988e+01,8.761721171796754788e+03,3.101966265817455678e+03,3.316184056258001419e+03,1.139929741304132904e+03,1.099707669497977197e+07,1.000000000000000000e+00
-1.829647183443419408e+03,3.818137386051051635e+03,1.278592492147354733e+03,2.213019441839190222e+03,8.291261377425043975e+02,4.897455049958241172e+06,1.000000000000000000e+00
-7.889564895399835223e+03,-2.743884857008895324e+02,-2.924568390165008168e+03,2.737808476096946379e+03,-2.607805739355611877e+03,7.495595251788283698e+06,1.000000000000000000e+00
-9.453963085529578166e+03,3.872327542745581468e+02,-3.684086353288746523e+03,3.688291562848050944e+03,-2.022943175769584514e+03,1.360349465257611871e+07,1.000000000000000000e+00
-3.368830048012492171e+03,2.655071554071187165e+02,-1.441683238396507704e+03,1.497751685673149723e+03,-5.034356113503199595e+02,2.243260111936761532e+06,1.000000000000000000e+00
-1.726892366742564946e+03,7.694407379186664002e+02,-1.199637688664962241e+02,8.515977754726903868e+02,1.853604340796798624e+02,7.252187711900348077e+05,1.000000000000000000e+00
1.323305194363217652e+01,1.092539244402272379e+04,3.591372387192784117e+03,3.943928709125178557e+03,2.888102588965828545e+03,1.555457366266179644e+07,1.000000000000000000e+00
-1.062660762583450378e+02,9.683295190533249297e+02,2.462683655351060281e+02,3.830102344264952876e+02,4.511055323658365523e+01,1.466968396754388814e+05,1.000000000000000000e+00
-4.673025875789320708e+03,1.637423406311862891e+03,-1.553397836804639155e+03,2.167960857508263416e+03,-2.139632646881590063e+03,4.700054279687965289e+06,1.000000000000000000e+00
-1.736313898510549734e+03,1.824531884541324871e+03,1.345657328245247299e+02,1.244264119782396619e+03,1.250165798673183417e+02,1.548193199777862523e+06,1.000000000000000000e+00
-3.245883447503399566e+02,6.255914425639514775e+03,1.615059439957736686e+03,2.383954872481987877e+03,4.070154889196846852e+02,5.683240834030611441e+06,1.000000000000000000e+00
-4.481114958034869233e+03,9.811226003952574501e+02,-5.472065727432543554e+02,1.993968443338682164e+03,1.206323271305786875e+02,3.975910153030487243e+06,1.000000000000000000e+00
-3.803193418829841903e+03,1.040135083434209719e+03,-6.811532413905442809e+02,1.645410384179852372e+03,-2.928351945053873351e+02,2.707375332366889343e+06,1.000000000000000000e+00
6.085937453511473905e+02,3.203064780942715151e+04,9.258573380718229600e+03,1.164324639621920505e+04,3.096796294127016154e+03,1.355651866430715024e+08,1.000000000000000000e+00
-2.331593217811215709e+03,2.124165864322706966e+03,-6.626545478702755076e+01,1.416533205916857014e+03,-4.859487189456058331e+01,2.006566323465089081e+06,1.000000000000000000e+00
-3.655205552019012885e+02,1.209154484806666460e+03,4.176975236085980328e+02,5.308207552905544162e+02,3.919314628750812517e+02,2.817706742472347105e+05,1.000000000000000000e+00
-2.799797409575034635e+03,1.096738815275029992e+02,-8.722477852755276899e+02,1.060565957538379735e+03,-8.624554332838788469e+02,1.124800150289300364e+06,1.000000000000000000e+00
2.672016917238435099e+02,2.612867429918843118e+04,7.439340079673012951e+03,9.624172861741824818e+03,3.344136949465615089e+03,9.262470327268782258e+07,1.000000000000000000e+00
-1.857886851790492528e+02,3.194749424058412387e+03,1.376570848936313268e+03,1.294283914979789870e+03,9.723870032280133273e+02,1.675170852575412020e+06,1.000000000000000000e+00
-5.653052898489445397e+02,1.224893308990027435e+04,3.574028875951158170e+03,4.765791386054467694e+03,9.499711439350312503e+02,2.271276753539096192e+07,1.000000000000000000e+00
-1.765735055071128954e+03,6.460275039770971489e+03,9.714831167831804350e+02,2.834991054124540369e+03,1.119030689546309532e+02,8.037174276966172270e+06,1.000000000000000000e+00
-4.574103755985652242e+03,1.301942682424461509e+03,-6.869223707310853797e+02,2.014749051078593766e+03,-9.269143695660454796e+01,4.059213738822094165e+06,1.000000000000000000e+00
-5.302884481519290603e+02,1.958634764064044248e+03,7.548115857563266218e+02,8.788088975726453782e+02,6.046303556492166535e+02,7.723050784528482473e+05,1.000000000000000000e+00
-1.400802477846299553e+04,-1.494924799304722001e+02,-4.329597753496136647e+03,4.945967272398605928e+03,-2.387963594982827999e+03,2.446259225963810831e+07,1.000000000000000000e+00
-1.832280628173873083e+03,2.678882162917048845e+03,3.038216850366407016e+02,1.906008397812508747e+03,-2.178044397089490758e+02,3.632868012531806715e+06,1.000000000000000000e+00
-4.000327378712757309e+03,5.257378939480599911e+01,-1.961191187234716153e+03,1.561201351435261131e+03,-1.191989778402106367e+03,2.437349659723285586e+06,1.000000000000000000e+00
-4.471328320600421648e+03,4.397727662886720736e+02,-1.567980035544338534e+03,1.809418925088141350e+03,-7.643241344636144277e+02,3.273996846467124764e+06,1.000000000000000000e+00
-7.395184314628746506e+03,2.787745050189222638e+03,-1.213249767340127846e+03,3.430371145011331009e+03,-5.011333324843235459e+00,1.176744619252634980e+07,1.000000000000000000e+00
-1.091000765443468481e+02,1.365410567830844957e+04,5.228439066575607285e+03,4.976730522297600146e+03,4.906698851143843967e+03,2.476784669156854227e+07,1.000000000000000000e+00
