# min,max,mean,stdev,median,variance,label
-14.84501667,524.1843869,150.0887682,195.5400377,66.56909964,38235.90633,5
-6.423139151,796.5614786,224.7749173,301.2281186,48.42117493,90738.37946,5
15.39507637,1405.273036,412.2990899,511.9142614,213.6570656,262056.2111,5
86.21050313,1474.227444,428.8138006,532.0731871,116.4778944,283101.8765,5
-163.7733135,-2.798887632,-66.20018409,57.25504154,-71.03641822,3278.139782,5
-1010.692891,-7.899226909,-285.1355678,377.5516318,-88.83221233,142545.2347,5
-66.45994863,64.4676472,-2.440414479,43.26856106,-13.57301766,1872.168376,5
-69.47619,750.6998791,209.579174,288.9971436,62.95362337,83519.349,5
-511.0854062,48.80452575,-114.6799441,207.5122892,-18.99337327,43061.35018,5
-1041.935592,-12.64434483,-352.3412166,370.2334936,-327.0719833,137072.8397,5
-7.537816599,1006.247505,286.4511498,379.4220312,87.51607299,143961.0778,5
37.62622213,2795.657685,832.2313688,1016.726771,323.8150887,1033733.327,5
-487.9439219,-42.21492211,-171.7004246,162.6527508,-114.4541185,26455.91735,5
-3304.790763,17.65293571,-937.6780493,1250.865719,-281.111164,1564665.048,5
6.636288893,1071.196117,301.5017444,397.5120902,116.2022931,158015.8618,5
7.199592351,480.9427232,152.777813,167.6434262,95.61313189,28104.31835,5
-1689.430621,-65.9928114,-520.8310765,601.7068672,-176.5515832,362051.1541,5
8.441553656,584.0413412,164.7438168,216.4869481,60.6542465,46866.59871,5
-419.9819778,3.443586165,-126.0273555,155.3781274,-58.66777323,24142.36246,5
-175.0543128,634.8603924,145.1642865,282.7938873,39.48707536,79972.38271,5
-105.0183817,1636.938345,378.8740101,663.5177572,-50.7145693,440255.8141,5
132.8788669,6202.156656,1820.426943,2306.456302,540.5625447,5319740.671,5
-285.8862693,-4.652057504,-79.17128658,105.7457465,-17.80511493,11182.1629,5
-1347.783397,-20.38191781,-395.4795869,501.4972362,-78.66873746,251499.4779,5
-167.4236444,474.0159253,129.5217744,223.5726191,49.68708201,49984.71602,5
-516.3492103,4866.927084,1415.397632,1832.298102,731.6893585,3357316.335,5
-446.0382443,46.34779857,-118.6468242,172.2519086,-44.15948308,29670.72003,5
-959.4981017,-58.6740317,-305.9021431,341.3427903,-92.69801514,116514.9005,5
-35.69234005,109.3507735,21.03343875,48.71470245,9.054898102,2373.122235,5
-471.5315375,30.11721695,-132.0238956,178.3665477,-43.59857034,31814.62535,5
