# min,max,mean,stdev,median,variance,label
-15712.54935,-150.4089652,-4166.536436,5919.963235,-862.701242,35045964.7,3
303.5499411,21967.16809,7339.736007,7926.252307,3941.200482,62825475.63,3
-702.8482076,4021.195284,1615.598299,1800.658869,1354.956063,3242372.363,3
274.8051134,17177.97027,5179.633556,6168.95774,3074.97602,38056039.59,3
-30598.15036,-731.0394421,-9444.335292,10892.61539,-4720.501755,118649070.1,3
-460.5394413,7174.502023,2375.261333,3025.568253,478.0371539,9154063.251,3
9.37350434,13874.36584,4870.763156,5054.778847,3809.717938,25550789.19,3
-3033.383025,630.9020772,-372.9637946,1362.063198,86.34543706,1855216.155,3
240.3707242,14569.36155,4071.467347,5427.110119,1083.91174,29453524.24,3
-5852.502055,2480.82075,-231.096178,2933.635337,326.6066865,8606216.292,3
-133.1425582,6669.646326,1901.695153,2543.566498,399.2364131,6469730.528,3
-3593.103985,1015.646377,-856.1028032,1797.089036,-159.0778344,3229529.004,3
-2451.890126,3753.80255,427.7724822,1987.755407,99.91442364,3951171.559,3
-7260.332103,512.6979869,-2064.984343,2690.32336,-1209.924787,7237839.781,3
-14350.69477,1004.944304,-4647.216142,5341.304496,-2672.753751,28529533.72,3
-1896.397551,24.91299616,-771.5122894,642.0113161,-542.4743009,412178.53,3
-1118.243046,950.386279,113.5946614,706.304098,72.36672338,498865.4789,3
-87.52703378,21519.6078,7147.82984,7979.129609,4652.231977,63666509.32,3
-6384.3777,300.5650412,-2512.119983,3086.260627,-239.1288217,9525004.656,3
-1187.782226,3379.516762,627.5581493,1567.279637,-74.93668996,2456365.46,3
-1187.782226,3379.516762,627.5581493,1567.279637,-74.93668996,2456365.46,3
1162.083454,31565.26758,9660.622614,11331.14391,3962.628805,128394822.2,3
-11068.4893,312.0730646,-2441.108059,4347.163598,-267.823625,18897831.35,3
1162.083454,31565.26758,9660.622614,11331.14391,3962.628805,128394822.2,3
-3450.750864,-233.9264983,-1769.803148,1368.513439,-1187.298224,1872829.033,3
-12367.8726,95.36166247,-4820.318469,4618.268137,-2849.29412,21328400.58,3
-137.1044348,2126.917472,529.0880406,820.3363542,111.9714512,672951.734,3
-6719.90609,1179.979691,-1130.594015,2835.863513,-49.35495551,8042121.864,3
-11751.81456,-310.9069353,-3529.112351,4197.602384,-2299.027502,17619865.77,3
413.3276835,18551.91493,5244.08024,6953.408492,975.4913613,48349889.65,3
