# min,max,mean,stdev,median,variance,label
-5776.685721,-101.6368266,-2125.034135,2292.043649,-697.3400655,5253464.091,4
-16099.43118,1407.876666,-3750.304033,6346.114473,-2140.419228,40273168.91,4
-1528.34655,17829.64322,4876.668084,7388.286816,1327.652846,54586782.08,4
-276.5803295,5746.23051,1391.329483,2209.193137,598.7960731,4880534.316,4
-7844.328963,1265.644409,-2037.998464,3115.408579,-1223.61844,9705770.614,4
35.62904386,8091.916988,2024.930568,3043.386843,685.9686885,9262203.476,4
-12503.69028,-60.02987171,-4091.821937,4857.149017,-981.7768851,23591896.58,4
-3250.82738,6576.213711,145.7313281,3496.183646,-99.57802371,12223300.08,4
-1424.296398,6796.789306,3077.844934,3040.88153,3573.386771,9246960.48,4
446.0280484,36618.42359,11203.19102,13166.71356,4662.537521,173362346,4
1334.645194,17949.674,6198.314761,6002.576894,4226.723315,36030929.36,4
-281.0827437,5066.862327,1498.757678,1844.269098,880.0459368,3401328.505,4
-27176.99462,-938.2485861,-8323.411765,9906.286789,-2516.203379,98134517.95,4
3.837667502,3589.268331,1949.730077,1194.642173,1919.740333,1427169.921,4
-3738.563463,654.556082,-955.9546185,1800.96922,161.9485853,3243490.133,4
-27063.56028,-1350.329094,-8729.31,9643.723954,-4106.543117,93001411.7,4
219.3146935,7351.410024,3489.54547,3164.817169,1505.410678,10016067.72,4
-21610.20565,323.3649157,-6997.978825,8093.312376,-3916.76699,65501705.22,4
94.29368304,13059.99154,3975.849479,4637.774538,2014.922232,21508952.66,4
-11653.06927,1570.591675,-2207.492149,4932.647696,294.8351841,24331013.29,4
-295.3733546,71664.17492,21218.88526,26806.75214,5866.511601,718601960.3,4
-1072.145531,17974.83612,6914.79626,6463.365452,6130.424885,41775092.97,4
-8449.612518,1309.604206,-2535.706053,3552.506649,-1318.043446,12620303.49,4
-9791.194507,77.68721259,-2990.637746,3805.432553,-473.3366257,14481316.92,4
-52843.58438,-1530.453893,-16234.31499,19304.23754,-4912.641927,372653587.1,4
-3434.92885,13399.23572,3431.683783,5870.113589,585.0910411,34458233.55,4
-12615.80436,-277.2933994,-4836.439438,4457.069903,-2558.05548,19865472.12,4
-8071.817718,2215.808076,-1426.921436,3481.016833,-485.04647,12117478.19,4
-19840.41312,-863.0380346,-6849.050159,7063.097276,-4206.130796,49887343.14,4
-2639.911897,318.9053205,-865.3116655,1042.405593,-513.4128929,1086609.42,4
